Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-95.150306
385.090M	-95.962930
385.150M	-98.509070
385.210M	-99.527440
385.270M	-98.245664
385.330M	-97.616326
385.390M	-97.670664
385.450M	-96.756850
385.510M	-94.875871
385.570M	-94.405337
385.631M	-95.533110
385.691M	-96.484000
385.751M	-96.596772
385.811M	-96.474682
385.871M	-95.936937
385.931M	-95.727143
385.991M	-95.647011
386.051M	-95.526457
386.111M	-95.015467
386.171M	-94.308873
386.231M	-95.167772
386.292M	-97.784321
386.352M	-98.965117
386.412M	-97.592468
386.472M	-96.551079
386.532M	-97.242619
386.592M	-98.718771
386.652M	-99.246882
386.712M	-97.883372
386.772M	-95.247690
386.832M	-93.460781
386.893M	-92.749879
386.953M	-92.861055
387.013M	-93.771745
387.073M	-94.370312
387.133M	-93.455763
387.193M	-93.244830
387.253M	-95.186714
387.313M	-98.444613
387.373M	-99.943656
387.433M	-101.935520
387.493M	-100.401951
387.554M	-96.497101
387.614M	-93.680864
387.674M	-92.721673
387.734M	-94.008693
387.794M	-96.893479
387.854M	-99.587305
387.914M	-99.355499
387.974M	-96.904622
388.034M	-95.886046
388.094M	-97.169050
388.155M	-98.365105
388.215M	-98.160302
388.275M	-98.742337
388.335M	-99.247366
388.395M	-98.067980
388.455M	-97.140305
388.515M	-97.570147
388.575M	-98.563108
388.635M	-99.911167
388.695M	-101.167843
388.756M	-99.606549
388.816M	-97.099787
388.876M	-95.532416
388.936M	-95.213395
388.996M	-96.359072
389.056M	-97.560513
389.116M	-97.599959
389.176M	-98.918948
389.236M	-102.103946
389.296M	-104.000373
389.356M	-100.612494
389.417M	-96.875942
389.477M	-95.028111
389.537M	-94.759077
389.597M	-95.709256
389.657M	-97.026473
389.717M	-96.198327
389.777M	-94.344626
389.837M	-94.142387
389.897M	-95.231445
389.957M	-95.786643
390.018M	-95.542265
390.078M	-95.746963
390.138M	-96.655663
390.198M	-98.328236
390.258M	-98.258198
390.318M	-96.313937
