Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-96.633316
385.090M	-95.847965
385.150M	-95.263498
385.210M	-93.910913
385.270M	-93.022095
385.330M	-94.008087
385.390M	-95.996575
385.450M	-96.645652
385.510M	-96.084868
385.570M	-94.635914
385.631M	-93.076027
385.691M	-92.031396
385.751M	-91.954481
385.811M	-93.469570
385.871M	-96.179718
385.931M	-98.023194
385.991M	-97.746749
386.051M	-97.744948
386.111M	-98.112348
386.171M	-98.181083
386.231M	-98.803116
386.292M	-98.677718
386.352M	-97.804224
386.412M	-97.290429
386.472M	-96.520797
386.532M	-96.151766
386.592M	-97.691058
386.652M	-98.862964
386.712M	-98.135758
386.772M	-98.935118
386.832M	-98.219658
386.893M	-96.055438
386.953M	-94.813715
387.013M	-93.668233
387.073M	-92.978692
387.133M	-93.472087
387.193M	-94.518152
387.253M	-95.163204
387.313M	-96.656769
387.373M	-99.460001
387.433M	-99.087164
387.493M	-97.636843
387.554M	-98.024473
387.614M	-98.233950
387.674M	-97.198217
387.734M	-96.478888
387.794M	-95.695994
387.854M	-95.860617
387.914M	-98.189691
387.974M	-99.572994
388.034M	-97.452808
388.094M	-95.369332
388.155M	-93.372597
388.215M	-92.234353
388.275M	-92.501335
388.335M	-94.028399
388.395M	-96.139847
388.455M	-97.472135
388.515M	-97.240589
388.575M	-97.373691
388.635M	-97.876010
388.695M	-97.118941
388.756M	-96.050221
388.816M	-95.680188
388.876M	-96.633755
388.936M	-98.078093
388.996M	-97.586766
389.056M	-96.972512
389.116M	-97.453245
389.176M	-97.625874
389.236M	-96.551162
389.296M	-95.649670
389.356M	-94.736044
389.417M	-92.766067
389.477M	-91.831644
389.537M	-92.819670
389.597M	-94.913476
389.657M	-95.839521
389.717M	-96.174657
389.777M	-99.198823
389.837M	-102.998796
389.897M	-98.452625
389.957M	-96.612354
390.018M	-96.579825
390.078M	-96.846011
390.138M	-97.311666
390.198M	-97.480776
390.258M	-96.081442
390.318M	-94.570385
390.378M	-94.518417
390.438M	-96.109213
390.498M	-98.689314
390.558M	-97.169663
390.618M	-94.331459
390.679M	-94.590820
390.739M	-97.896782
390.799M	-99.595319
390.859M	-97.791980
390.919M	-97.724322
390.979M	-99.121866
391.039M	-99.877223
391.099M	-99.692186
391.159M	-98.265008
391.219M	-97.456767
391.280M	-96.502851
391.340M	-95.376508
391.400M	-94.978519
391.460M	-94.904855
391.520M	-95.082468
391.580M	-95.590575
391.640M	-95.990790
391.700M	-96.220700
391.760M	-95.748745
391.820M	-94.564329
391.881M	-94.485855
391.941M	-96.881239
392.001M	-101.954373
392.061M	-103.268022
392.121M	-101.427383
392.181M	-99.903913
392.241M	-97.856447
392.301M	-96.224945
392.361M	-95.790540
392.421M	-96.835635
392.481M	-96.705536
392.542M	-95.348390
392.602M	-94.755910
392.662M	-94.671262
392.722M	-94.817474
392.782M	-95.634012
392.842M	-97.367295
392.902M	-98.307151
392.962M	-98.145543
393.022M	-99.498819
393.082M	-99.764366
393.143M	-97.167281
393.203M	-95.054129
393.263M	-93.687603
393.323M	-93.149847
393.383M	-93.545379
393.443M	-94.157492
393.503M	-94.997590
393.563M	-96.367649
393.623M	-97.091979
393.683M	-96.477992
393.743M	-94.779636
393.804M	-93.881841
393.864M	-94.594244
393.924M	-95.593461
393.984M	-94.886487
394.044M	-94.093274
394.104M	-94.173971
394.164M	-94.622229
394.224M	-95.974181
394.284M	-98.500995
394.344M	-97.972566
394.405M	-96.946655
394.465M	-97.495226
394.525M	-97.180803
394.585M	-96.721372
394.645M	-97.454759
394.705M	-97.674949
394.765M	-97.227917
394.825M	-96.885756
394.885M	-97.271037
394.945M	-98.134289
395.006M	-98.333545
395.066M	-97.774914
395.126M	-97.591562
395.186M	-98.274464
395.246M	-98.161629
395.306M	-97.856504
395.366M	-98.495195
395.426M	-98.811305
395.486M	-98.486376
395.546M	-97.820524
395.606M	-97.102137
395.667M	-97.666643
395.727M	-100.194498
395.787M	-99.302897
395.847M	-96.734384
395.907M	-95.512639
395.967M	-93.653826
396.027M	-92.357825
396.087M	-92.618984
396.147M	-93.393283
396.207M	-94.328465
396.268M	-94.933060
396.328M	-94.307838
396.388M	-94.272261
396.448M	-95.276239
396.508M	-96.780097
396.568M	-98.568894
396.628M	-99.991398
396.688M	-101.114814
396.748M	-99.100287
396.808M	-97.171219
396.868M	-97.893362
396.929M	-99.717892
396.989M	-98.503681
397.049M	-96.742188
397.109M	-97.629425
397.169M	-99.425032
397.229M	-98.942820
397.289M	-98.361622
397.349M	-96.809652
397.409M	-95.341091
397.469M	-95.457848
397.530M	-97.183746
397.590M	-98.306564
397.650M	-97.102133
397.710M	-95.509249
397.770M	-94.500380
397.830M	-94.007979
397.890M	-93.992870
397.950M	-95.025998
398.010M	-96.413578
398.070M	-96.530725
398.131M	-94.940742
398.191M	-93.547482
398.251M	-93.655117
398.311M	-95.001437
398.371M	-96.631140
398.431M	-96.218804
398.491M	-93.222787
398.551M	-91.386568
398.611M	-92.034734
398.671M	-94.623553
398.731M	-96.525564
398.792M	-96.683009
398.852M	-96.018749
398.912M	-94.980806
398.972M	-95.193862
399.032M	-96.743209
399.092M	-96.726027
399.152M	-94.823261
399.212M	-94.574869
399.272M	-95.269865
399.332M	-95.645410
399.393M	-94.482697
399.453M	-92.676030
399.513M	-91.977108
399.573M	-92.290728
399.633M	-93.281507
399.693M	-94.567359
399.753M	-94.051346
399.813M	-92.065766
399.873M	-91.245507
399.933M	-91.976157
399.993M	-93.044523
400.054M	-93.510162
400.114M	-93.798484
400.174M	-93.988468
400.234M	-94.965045
400.294M	-97.567549
400.354M	-98.547704
400.414M	-95.990615
400.474M	-94.958905
400.534M	-96.321993
400.594M	-98.564984
400.655M	-98.955017
400.715M	-97.358294
400.775M	-95.828820
400.835M	-96.602193
400.895M	-98.098197
400.955M	-96.777552
401.015M	-95.761586
401.075M	-95.568287
401.135M	-96.103665
401.195M	-98.033899
401.256M	-99.496927
401.316M	-99.177351
401.376M	-99.387974
401.436M	-101.503740
401.496M	-100.812866
401.556M	-98.097126
401.616M	-96.183040
401.676M	-100.888854
401.736M	-97.181525
401.796M	-96.376874
401.856M	-96.965277
401.917M	-97.450820
401.977M	-95.928303
402.037M	-92.423301
402.097M	-87.790180
402.157M	-81.887823
402.217M	-77.713966
402.277M	-76.223482
402.337M	-76.983549
402.397M	-78.367211
402.457M	-77.642276
402.518M	-75.713455
402.578M	-73.284766
402.638M	-71.130047
402.698M	-70.480981
402.758M	-71.109252
402.818M	-72.116093
402.878M	-73.394384
402.938M	-74.700678
402.998M	-76.993275
403.058M	-76.505116
403.118M	-74.053110
403.179M	-73.826805
403.239M	-74.231247
403.299M	-72.838763
403.359M	-71.014699
403.419M	-70.632877
403.479M	-71.871469
403.539M	-74.951013
403.599M	-77.381606
403.659M	-76.335754
403.719M	-74.422289
403.780M	-73.252087
403.840M	-75.029362
403.900M	-77.465151
403.960M	-75.472232
404.020M	-73.888586
404.080M	-73.310943
404.140M	-73.191373
404.200M	-73.245312
404.260M	-74.008479
404.320M	-74.431957
404.381M	-72.676554
404.441M	-71.655793
404.501M	-72.580127
404.561M	-74.440345
404.621M	-74.696738
404.681M	-73.499126
404.741M	-71.538163
404.801M	-70.213868
404.861M	-70.460130
404.921M	-71.421928
404.981M	-71.309976
405.042M	-71.160937
405.102M	-72.125952
405.162M	-73.125645
405.222M	-72.972485
405.282M	-73.374981
405.342M	-74.792660
405.402M	-77.286774
405.462M	-79.258910
405.522M	-74.058426
405.582M	-70.836232
405.643M	-70.287515
405.703M	-72.093899
405.763M	-76.527306
405.823M	-78.809497
405.883M	-74.825331
405.943M	-73.996292
406.003M	-75.364393
406.063M	-74.897769
406.123M	-73.439007
406.183M	-72.871293
406.243M	-73.388219
406.304M	-74.254142
406.364M	-73.802701
406.424M	-73.534102
406.484M	-74.601220
406.544M	-75.091449
406.604M	-73.952065
406.664M	-73.094117
406.724M	-73.030181
406.784M	-73.205169
406.844M	-73.098846
406.905M	-73.290870
406.965M	-72.658760
407.025M	-71.730234
407.085M	-72.937005
407.145M	-74.131676
407.205M	-72.912760
407.265M	-73.558118
407.325M	-75.525359
407.385M	-75.989275
407.445M	-75.397006
407.506M	-73.959748
407.566M	-71.834894
407.626M	-71.236472
407.686M	-73.365942
407.746M	-78.418755
407.806M	-85.846840
407.866M	-92.763712
407.926M	-95.901681
407.986M	-94.491109
408.046M	-90.798619
408.106M	-87.549817
408.167M	-84.459993
408.227M	-81.316360
408.287M	-77.853104
408.347M	-74.159682
408.407M	-71.629734
408.467M	-71.082676
408.527M	-72.071413
408.587M	-73.091397
408.647M	-74.059134
408.707M	-74.032392
408.768M	-73.046703
408.828M	-72.804334
408.888M	-72.580927
408.948M	-72.015548
409.008M	-71.848185
409.068M	-72.918428
409.128M	-74.908732
409.188M	-76.575626
409.248M	-75.306323
409.308M	-73.083715
409.368M	-72.303716
409.429M	-72.515519
409.489M	-72.279583
409.549M	-71.976101
409.609M	-73.415762
409.669M	-76.596290
409.729M	-78.081024
409.789M	-76.572528
409.849M	-73.865525
409.909M	-72.408491
409.969M	-73.310529
410.030M	-75.771940
410.090M	-75.937264
410.150M	-72.924021
410.210M	-71.649187
410.270M	-72.881665
410.330M	-75.076051
410.390M	-75.834418
410.450M	-74.463686
410.510M	-73.059056
410.570M	-72.043177
410.631M	-72.512921
410.691M	-75.194825
410.751M	-77.537453
410.811M	-77.216160
410.871M	-76.117685
410.931M	-74.361746
410.991M	-72.144012
411.051M	-69.975830
411.111M	-69.225388
411.171M	-70.108873
411.231M	-72.351698
411.292M	-74.118408
411.352M	-72.988339
411.412M	-73.185135
411.472M	-75.275229
