Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-95.935681
385.090M	-95.198290
385.150M	-95.050898
385.210M	-96.887286
385.270M	-99.647743
385.330M	-98.536716
385.390M	-96.884910
385.450M	-97.147335
385.510M	-98.763166
385.570M	-99.241828
385.631M	-98.273797
385.691M	-96.572263
385.751M	-95.954027
385.811M	-96.004485
385.871M	-94.353619
385.931M	-92.936259
385.991M	-92.444188
386.051M	-92.186969
386.111M	-92.632678
386.171M	-94.505827
386.231M	-97.203270
386.292M	-99.880811
386.352M	-101.299404
386.412M	-99.847228
386.472M	-97.446567
386.532M	-95.528379
386.592M	-95.267659
386.652M	-96.931134
386.712M	-99.739198
386.772M	-99.657210
386.832M	-97.324852
386.893M	-96.412902
386.953M	-96.176227
387.013M	-97.054179
387.073M	-100.037462
387.133M	-99.914480
387.193M	-97.832590
387.253M	-96.899358
387.313M	-97.445204
387.373M	-98.859769
387.433M	-98.572180
387.493M	-97.737796
387.554M	-98.591263
387.614M	-99.517824
387.674M	-99.305521
387.734M	-99.158110
387.794M	-99.103645
387.854M	-99.891497
387.914M	-100.324689
387.974M	-100.589336
388.034M	-100.309502
388.094M	-100.139770
388.155M	-101.038315
388.215M	-102.057422
388.275M	-101.736452
388.335M	-100.483013
388.395M	-98.999781
388.455M	-95.675968
388.515M	-94.297655
388.575M	-96.036438
388.635M	-100.099179
388.695M	-100.400517
388.756M	-97.817319
388.816M	-96.281228
388.876M	-96.405256
388.936M	-97.708339
388.996M	-98.190259
389.056M	-98.526462
389.116M	-99.076801
389.176M	-98.653249
389.236M	-98.578826
389.296M	-98.362755
389.356M	-98.011311
389.417M	-99.059914
389.477M	-98.839205
389.537M	-97.563869
389.597M	-98.297499
389.657M	-99.043255
389.717M	-97.403592
389.777M	-96.628246
389.837M	-96.512439
389.897M	-95.486868
389.957M	-94.496784
390.018M	-94.204340
390.078M	-94.604744
390.138M	-95.654390
390.198M	-96.720206
390.258M	-97.121356
390.318M	-97.075523
390.378M	-97.296612
390.438M	-98.010662
390.498M	-97.217134
390.558M	-95.507662
390.618M	-95.116358
390.679M	-95.859170
390.739M	-96.615798
390.799M	-97.018188
390.859M	-98.312716
390.919M	-98.936722
390.979M	-96.884387
391.039M	-95.334609
391.099M	-95.740361
391.159M	-96.661726
391.219M	-96.435815
391.280M	-96.491607
391.340M	-95.911644
391.400M	-95.400331
391.460M	-97.490867
391.520M	-101.933615
391.580M	-102.529456
391.640M	-100.299425
391.700M	-99.325940
391.760M	-98.375129
391.820M	-97.283421
391.881M	-95.847783
391.941M	-94.039175
392.001M	-92.245338
392.061M	-91.187611
392.121M	-91.180071
392.181M	-91.900201
392.241M	-92.745213
392.301M	-93.620434
392.361M	-94.844247
392.421M	-96.274606
392.481M	-97.870039
392.542M	-99.641065
392.602M	-101.461573
392.662M	-100.912743
392.722M	-99.606013
392.782M	-99.637494
392.842M	-98.547279
392.902M	-96.720725
392.962M	-95.842111
393.022M	-96.173163
393.082M	-97.928004
393.143M	-98.909053
393.203M	-98.193788
393.263M	-98.282889
393.323M	-97.830262
393.383M	-95.026041
393.443M	-93.369464
393.503M	-94.219349
393.563M	-95.802584
393.623M	-95.544160
393.683M	-95.759188
393.743M	-97.673735
393.804M	-97.795293
393.864M	-95.035609
393.924M	-93.823973
393.984M	-94.679793
394.044M	-96.287122
394.104M	-96.488448
394.164M	-95.178954
394.224M	-93.797441
394.284M	-93.272991
394.344M	-93.395363
394.405M	-93.730275
394.465M	-93.877200
394.525M	-93.780837
394.585M	-95.291548
394.645M	-99.528798
394.705M	-103.069673
394.765M	-100.316022
394.825M	-98.708493
394.885M	-98.535411
394.945M	-98.280094
395.006M	-96.879216
395.066M	-95.799274
395.126M	-96.530680
395.186M	-97.823687
395.246M	-97.206104
395.306M	-96.992222
395.366M	-97.528730
395.426M	-96.363107
395.486M	-94.590480
395.546M	-93.755818
395.606M	-94.207841
395.667M	-95.609157
395.727M	-94.817025
395.787M	-93.421718
395.847M	-94.347026
395.907M	-96.715762
395.967M	-97.757344
396.027M	-96.916954
396.087M	-95.660783
396.147M	-96.138070
396.207M	-96.441173
396.268M	-94.684139
396.328M	-94.576190
396.388M	-96.775437
396.448M	-98.338432
396.508M	-98.150590
396.568M	-97.552571
396.628M	-96.657368
396.688M	-95.085410
396.748M	-93.600314
396.808M	-93.524839
396.868M	-94.965801
396.929M	-97.226434
396.989M	-99.118957
397.049M	-99.989883
397.109M	-99.022669
397.169M	-97.442586
397.229M	-96.518955
397.289M	-96.169707
397.349M	-96.670971
397.409M	-98.168463
397.469M	-99.681882
397.530M	-98.084363
397.590M	-95.602827
397.650M	-95.092293
397.710M	-96.354697
397.770M	-98.264689
397.830M	-97.943785
397.890M	-96.339932
397.950M	-96.475060
398.010M	-98.511058
398.070M	-99.497486
398.131M	-98.279983
398.191M	-99.188338
398.251M	-98.142983
398.311M	-95.133663
398.371M	-94.863369
398.431M	-96.793740
398.491M	-97.259298
398.551M	-96.080804
398.611M	-96.420368
398.671M	-97.992757
398.731M	-98.880076
398.792M	-98.033928
398.852M	-96.468408
398.912M	-95.323549
398.972M	-94.668617
399.032M	-94.313507
