Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-97.272506
385.090M	-97.598843
385.150M	-97.965377
385.210M	-99.105473
385.270M	-101.266406
385.330M	-98.657750
385.390M	-96.090665
385.450M	-95.475640
385.510M	-95.947997
385.570M	-97.261551
385.631M	-98.388058
385.691M	-97.623937
385.751M	-96.670339
385.811M	-97.202302
385.871M	-97.813252
385.931M	-96.973158
385.991M	-97.260949
386.051M	-98.604520
386.111M	-99.272796
386.171M	-98.507514
386.231M	-97.090835
386.292M	-97.327915
386.352M	-98.340088
386.412M	-97.736343
386.472M	-98.455336
386.532M	-99.255552
386.592M	-96.974275
386.652M	-95.677331
386.712M	-96.334480
386.772M	-98.579668
386.832M	-96.769574
386.893M	-93.661864
386.953M	-93.012093
387.013M	-94.133894
387.073M	-95.519961
387.133M	-94.844819
387.193M	-93.450873
387.253M	-93.412055
387.313M	-94.131879
387.373M	-94.803756
387.433M	-95.547596
387.493M	-95.776753
387.554M	-96.659121
387.614M	-99.170726
387.674M	-101.519909
387.734M	-101.849762
387.794M	-99.904351
387.854M	-96.202575
387.914M	-94.081032
387.974M	-93.999651
388.034M	-94.970995
388.094M	-95.833056
388.155M	-95.525303
388.215M	-94.736732
388.275M	-94.594284
388.335M	-94.503301
388.395M	-94.522002
388.455M	-94.563620
388.515M	-93.834714
388.575M	-93.967695
388.635M	-95.883635
388.695M	-98.157348
388.756M	-98.509585
388.816M	-99.536393
388.876M	-100.710244
388.936M	-98.705139
388.996M	-97.649997
389.056M	-98.905807
389.116M	-101.147948
389.176M	-100.452237
389.236M	-99.875308
389.296M	-100.350698
389.356M	-100.435417
389.417M	-98.555466
389.477M	-97.913005
389.537M	-98.441024
389.597M	-97.067146
389.657M	-96.153508
389.717M	-97.821590
389.777M	-101.115008
389.837M	-98.283693
389.897M	-95.858353
389.957M	-96.420785
390.018M	-97.702151
390.078M	-98.165610
390.138M	-100.329855
390.198M	-99.248628
390.258M	-95.502801
390.318M	-94.468995
390.378M	-95.470819
390.438M	-97.607977
390.498M	-101.507603
390.558M	-103.054879
390.618M	-99.132104
390.679M	-97.424114
390.739M	-97.706380
390.799M	-97.257375
390.859M	-95.176132
390.919M	-93.706308
390.979M	-93.507720
391.039M	-94.362746
391.099M	-94.595912
391.159M	-94.213361
391.219M	-94.817513
391.280M	-96.379708
391.340M	-97.774420
391.400M	-98.245369
391.460M	-97.780304
391.520M	-97.185006
391.580M	-98.426931
391.640M	-100.505358
391.700M	-100.171253
391.760M	-98.138337
391.820M	-95.943053
391.881M	-93.814558
391.941M	-92.427774
392.001M	-93.265687
392.061M	-96.398200
392.121M	-97.816362
392.181M	-97.140127
392.241M	-96.761495
392.301M	-95.555087
392.361M	-94.955495
392.421M	-95.621816
392.481M	-96.340845
392.542M	-96.578527
392.602M	-96.500145
392.662M	-96.571350
392.722M	-96.133418
392.782M	-94.861093
392.842M	-94.255959
392.902M	-95.008430
392.962M	-96.530393
393.022M	-97.183674
393.082M	-97.256451
393.143M	-97.899375
393.203M	-99.300161
393.263M	-98.126971
393.323M	-95.356378
393.383M	-93.898994
393.443M	-94.192250
393.503M	-95.529422
393.563M	-95.434183
393.623M	-94.194213
393.683M	-93.072254
393.743M	-92.532759
393.804M	-92.699206
393.864M	-92.678169
393.924M	-92.309701
393.984M	-92.741885
394.044M	-94.255743
394.104M	-95.242559
394.164M	-95.039610
394.224M	-95.435396
394.284M	-96.426069
394.344M	-96.501774
394.405M	-96.114557
394.465M	-96.049375
394.525M	-95.532785
394.585M	-95.332263
394.645M	-95.972733
394.705M	-96.943808
394.765M	-96.908982
394.825M	-95.245332
394.885M	-94.368284
394.945M	-95.315289
395.006M	-97.013604
395.066M	-97.680729
395.126M	-98.729368
395.186M	-100.162792
395.246M	-98.510046
395.306M	-96.855453
395.366M	-96.027165
395.426M	-94.612684
395.486M	-94.374248
395.546M	-95.762719
395.606M	-94.677658
395.667M	-93.627569
395.727M	-94.489593
395.787M	-94.744827
395.847M	-95.113249
395.907M	-96.687572
395.967M	-97.634244
396.027M	-96.743506
396.087M	-94.990725
396.147M	-94.280916
396.207M	-95.712018
396.268M	-99.205704
396.328M	-102.074577
396.388M	-102.374999
396.448M	-99.106178
396.508M	-96.108368
396.568M	-94.863581
396.628M	-94.609289
396.688M	-94.921001
396.748M	-95.187783
396.808M	-94.432083
396.868M	-94.353048
396.929M	-95.582816
396.989M	-96.671426
397.049M	-95.675770
397.109M	-94.792479
397.169M	-95.350653
397.229M	-96.646496
397.289M	-96.978038
397.349M	-95.449739
397.409M	-94.807970
397.469M	-95.891187
397.530M	-96.576241
397.590M	-96.141128
397.650M	-95.267730
397.710M	-94.404687
397.770M	-95.099657
397.830M	-97.902449
397.890M	-101.804885
397.950M	-102.437574
398.010M	-97.748330
398.070M	-95.169460
398.131M	-95.052076
398.191M	-94.705215
398.251M	-94.025821
398.311M	-94.512932
398.371M	-95.558792
398.431M	-96.069837
398.491M	-95.683599
398.551M	-94.582069
398.611M	-93.884245
398.671M	-94.426156
398.731M	-96.866539
398.792M	-99.235753
398.852M	-97.793459
398.912M	-96.136212
398.972M	-96.182968
399.032M	-97.738404
399.092M	-100.106643
399.152M	-100.644021
399.212M	-99.410139
399.272M	-98.563963
399.332M	-98.411299
399.393M	-97.763764
399.453M	-95.172377
399.513M	-93.144338
399.573M	-92.018610
399.633M	-91.348555
399.693M	-91.449546
399.753M	-92.865607
399.813M	-95.075220
399.873M	-95.347137
399.933M	-93.869555
399.993M	-92.910443
400.054M	-93.095166
400.114M	-94.686441
400.174M	-96.422039
400.234M	-94.907075
400.294M	-94.322277
400.354M	-96.302772
400.414M	-96.153478
400.474M	-93.601844
400.534M	-92.774568
400.594M	-93.256606
400.655M	-93.776240
400.715M	-93.418197
400.775M	-92.961278
400.835M	-93.813120
400.895M	-96.681084
400.955M	-100.970099
401.015M	-99.180975
401.075M	-95.847636
401.135M	-94.506492
401.195M	-94.440705
401.256M	-94.681124
401.316M	-94.800914
401.376M	-94.944158
401.436M	-94.805373
401.496M	-94.623488
401.556M	-94.059356
401.616M	-93.455855
401.676M	-95.014147
401.736M	-94.746360
401.796M	-94.436906
401.856M	-94.051001
401.917M	-94.121813
401.977M	-93.607172
402.037M	-91.317809
402.097M	-86.969661
402.157M	-82.622753
402.217M	-80.080807
402.277M	-78.264849
402.337M	-75.656395
402.397M	-73.246305
402.457M	-71.678614
402.518M	-71.201162
402.578M	-72.322853
402.638M	-75.335181
402.698M	-76.926801
402.758M	-74.503308
402.818M	-73.142918
402.878M	-73.276056
402.938M	-72.981734
402.998M	-72.668805
403.058M	-72.895369
403.118M	-73.246831
403.179M	-74.001559
403.239M	-73.507670
403.299M	-72.220769
403.359M	-72.886091
403.419M	-75.740249
403.479M	-77.374144
403.539M	-77.742885
403.599M	-76.875435
403.659M	-75.538006
403.719M	-75.850824
403.780M	-74.204330
403.840M	-72.652079
403.900M	-73.898702
403.960M	-74.846379
404.020M	-73.549512
404.080M	-73.062410
404.140M	-73.278801
404.200M	-73.039294
404.260M	-72.403664
404.320M	-72.088973
404.381M	-71.531834
404.441M	-70.638430
404.501M	-69.915898
404.561M	-70.116556
