Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-92.145287
385.090M	-92.409683
385.150M	-95.079530
385.210M	-97.612880
385.270M	-96.172756
385.330M	-95.123444
385.390M	-94.835534
385.450M	-94.421991
385.510M	-94.372574
385.570M	-94.955726
385.631M	-96.043515
385.691M	-97.541559
385.751M	-97.933831
385.811M	-98.359935
385.871M	-99.346122
385.931M	-97.841063
385.991M	-96.252312
386.051M	-95.836997
386.111M	-95.961586
386.171M	-96.229395
386.231M	-96.992637
386.292M	-97.932207
386.352M	-96.393093
386.412M	-95.533923
386.472M	-96.774706
386.532M	-98.017727
386.592M	-97.660311
386.652M	-97.666032
386.712M	-96.992376
386.772M	-94.761332
386.832M	-93.867665
386.893M	-94.356640
386.953M	-95.236689
387.013M	-95.680754
387.073M	-96.317683
387.133M	-97.100736
387.193M	-97.097666
387.253M	-97.058008
387.313M	-97.595751
387.373M	-97.629018
387.433M	-97.532814
387.493M	-97.641345
387.554M	-96.855413
387.614M	-97.133075
387.674M	-98.567516
387.734M	-98.624845
387.794M	-97.802186
387.854M	-97.047253
387.914M	-95.580298
387.974M	-95.243498
388.034M	-96.560906
388.094M	-98.671589
388.155M	-98.424075
388.215M	-96.389457
388.275M	-96.143086
388.335M	-97.291772
388.395M	-98.540471
388.455M	-99.590575
388.515M	-99.498098
388.575M	-99.330607
388.635M	-100.461401
388.695M	-101.165008
388.756M	-98.352575
388.816M	-96.136593
388.876M	-95.310276
388.936M	-95.121718
388.996M	-95.677431
389.056M	-96.393724
389.116M	-96.069041
389.176M	-95.347816
389.236M	-95.067955
389.296M	-94.811849
389.356M	-94.721123
389.417M	-94.823680
389.477M	-95.709024
389.537M	-97.182432
389.597M	-97.482106
389.657M	-97.191751
389.717M	-96.877929
389.777M	-95.885399
389.837M	-94.314988
389.897M	-93.842790
389.957M	-94.770724
390.018M	-95.818921
390.078M	-95.327375
390.138M	-95.922193
390.198M	-98.238017
390.258M	-97.797679
390.318M	-95.960684
390.378M	-94.767357
390.438M	-94.317554
390.498M	-95.188060
390.558M	-97.321905
390.618M	-99.005922
390.679M	-98.369751
390.739M	-96.793714
390.799M	-96.058888
390.859M	-97.351009
390.919M	-100.152629
390.979M	-97.613409
391.039M	-94.778771
391.099M	-94.588273
391.159M	-95.037121
391.219M	-94.244532
391.280M	-93.390532
391.340M	-93.426629
391.400M	-94.379316
391.460M	-96.200588
391.520M	-97.219051
391.580M	-97.310615
391.640M	-97.457043
391.700M	-96.439413
391.760M	-95.836556
391.820M	-97.233279
391.881M	-98.273786
391.941M	-95.884282
392.001M	-95.393762
392.061M	-97.743010
392.121M	-98.524203
392.181M	-97.348339
392.241M	-97.940687
392.301M	-97.716379
392.361M	-96.310832
392.421M	-96.388055
392.481M	-98.347115
392.542M	-99.614194
392.602M	-98.328391
392.662M	-96.918539
392.722M	-95.567779
392.782M	-94.686456
392.842M	-94.118140
392.902M	-93.777441
392.962M	-94.750159
393.022M	-97.698679
393.082M	-100.936959
393.143M	-99.242391
393.203M	-96.750969
393.263M	-96.123011
393.323M	-96.051184
393.383M	-95.574628
393.443M	-95.350048
393.503M	-96.184852
393.563M	-98.426724
393.623M	-98.896075
393.683M	-96.842106
393.743M	-96.143901
393.804M	-96.045381
393.864M	-96.267473
393.924M	-98.027745
393.984M	-100.425504
394.044M	-99.075119
394.104M	-96.828291
394.164M	-96.188430
394.224M	-97.133337
394.284M	-97.612708
394.344M	-97.568244
394.405M	-95.877911
394.465M	-94.375277
394.525M	-95.397653
394.585M	-96.027762
394.645M	-96.584704
394.705M	-98.401887
394.765M	-97.513570
394.825M	-94.987744
394.885M	-93.697285
394.945M	-94.059317
395.006M	-95.065174
395.066M	-95.452430
395.126M	-96.045884
395.186M	-97.166162
395.246M	-96.753872
395.306M	-96.218228
395.366M	-97.176753
395.426M	-97.407001
395.486M	-96.743875
395.546M	-96.818102
395.606M	-96.648198
395.667M	-95.972189
395.727M	-94.743483
395.787M	-93.853802
395.847M	-94.424176
395.907M	-95.490523
395.967M	-95.881883
396.027M	-96.861478
396.087M	-98.584251
396.147M	-98.666759
396.207M	-98.934789
396.268M	-99.259251
396.328M	-97.633940
396.388M	-96.524431
396.448M	-96.232390
396.508M	-96.712879
396.568M	-97.962422
396.628M	-96.901646
396.688M	-96.128175
396.748M	-96.777666
396.808M	-96.095480
396.868M	-95.115182
396.929M	-95.495258
396.989M	-96.492468
397.049M	-96.904464
397.109M	-96.028677
397.169M	-95.741742
397.229M	-96.747116
397.289M	-97.620681
397.349M	-96.929334
397.409M	-94.948090
397.469M	-93.500465
397.530M	-93.591964
397.590M	-93.613498
397.650M	-93.068043
397.710M	-93.172104
397.770M	-93.895999
397.830M	-94.823665
397.890M	-95.098423
397.950M	-95.257182
398.010M	-95.535936
398.070M	-95.882512
398.131M	-95.999358
398.191M	-95.670261
398.251M	-95.164871
398.311M	-94.890527
398.371M	-94.863201
398.431M	-93.685454
398.491M	-92.528146
398.551M	-92.926733
398.611M	-95.076131
398.671M	-97.654249
398.731M	-97.267661
398.792M	-95.140574
398.852M	-94.513711
398.912M	-95.361315
398.972M	-96.853320
399.032M	-96.905493
399.092M	-95.352946
399.152M	-95.200125
399.212M	-96.443476
399.272M	-98.213861
399.332M	-100.836674
399.393M	-99.534549
399.453M	-96.658342
399.513M	-95.962013
399.573M	-95.350415
399.633M	-94.522981
399.693M	-95.282601
399.753M	-95.136810
399.813M	-94.024763
399.873M	-94.899687
399.933M	-97.292398
399.993M	-97.988377
400.054M	-97.231433
400.114M	-95.982190
400.174M	-95.191972
400.234M	-95.795458
400.294M	-97.363226
400.354M	-97.524309
400.414M	-96.509354
400.474M	-96.502813
400.534M	-96.278167
400.594M	-95.371985
400.655M	-95.169283
400.715M	-95.228353
400.775M	-96.816445
400.835M	-98.739203
400.895M	-98.427152
400.955M	-99.146646
401.015M	-96.827724
401.075M	-95.487170
401.135M	-96.895862
401.195M	-97.391192
401.256M	-95.969873
401.316M	-95.232928
401.376M	-94.443133
401.436M	-94.717285
401.496M	-96.518587
401.556M	-98.685708
401.616M	-99.583259
401.676M	-93.164472
401.736M	-93.441657
401.796M	-94.369608
401.856M	-94.976884
401.917M	-95.386970
401.977M	-95.807287
402.037M	-92.359452
402.097M	-86.633013
402.157M	-82.494434
402.217M	-78.897303
402.277M	-75.291614
402.337M	-72.798251
402.397M	-71.973705
402.457M	-72.882529
402.518M	-73.558782
402.578M	-71.754313
402.638M	-70.242943
402.698M	-70.513871
402.758M	-72.522983
402.818M	-74.287859
402.878M	-73.537735
402.938M	-72.597832
402.998M	-72.473362
403.058M	-73.066801
403.118M	-74.560664
403.179M	-74.119103
403.239M	-72.793695
403.299M	-72.697169
403.359M	-73.885704
403.419M	-74.863309
403.479M	-73.393038
403.539M	-71.656607
403.599M	-71.082654
403.659M	-71.934702
403.719M	-74.554783
