Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-93.911564
385.090M	-93.658267
385.150M	-94.313943
385.210M	-96.005501
385.270M	-97.510367
385.330M	-95.534532
385.390M	-93.375243
385.450M	-93.048950
385.510M	-93.689326
385.570M	-95.035397
385.631M	-97.134684
385.691M	-98.095460
385.751M	-96.056677
385.811M	-93.546734
385.871M	-92.860118
385.931M	-93.802642
385.991M	-94.012828
386.051M	-93.463840
386.111M	-93.844236
386.171M	-94.765026
386.231M	-95.531491
386.292M	-96.964032
386.352M	-98.946883
386.412M	-99.269195
386.472M	-98.349499
386.532M	-95.806310
386.592M	-93.830743
386.652M	-94.149408
386.712M	-96.384326
386.772M	-98.700597
386.832M	-99.363903
386.893M	-99.163743
386.953M	-99.527709
387.013M	-99.848784
387.073M	-100.368898
387.133M	-100.956651
387.193M	-99.349032
387.253M	-97.297674
387.313M	-96.339259
387.373M	-95.499605
387.433M	-94.300926
387.493M	-93.644657
387.554M	-93.786768
387.614M	-94.734062
387.674M	-96.572547
387.734M	-98.750353
387.794M	-99.625222
387.854M	-97.164726
387.914M	-95.078720
387.974M	-94.875170
388.034M	-96.657686
388.094M	-99.549512
388.155M	-99.721046
388.215M	-99.335462
388.275M	-100.805715
388.335M	-99.639436
388.395M	-97.638053
388.455M	-98.786409
388.515M	-98.776817
388.575M	-95.875720
388.635M	-94.408269
388.695M	-94.114794
388.756M	-94.921688
388.816M	-97.140695
388.876M	-99.404366
388.936M	-98.771069
388.996M	-96.212528
389.056M	-93.953229
389.116M	-93.132646
389.176M	-94.853793
389.236M	-99.122109
389.296M	-98.457169
389.356M	-96.353626
389.417M	-96.795697
389.477M	-98.506512
389.537M	-98.863891
389.597M	-97.356055
389.657M	-96.788835
389.717M	-99.417848
389.777M	-102.142369
389.837M	-97.511437
389.897M	-94.830779
389.957M	-94.093274
390.018M	-94.603961
390.078M	-95.945471
390.138M	-97.789486
390.198M	-98.869598
390.258M	-99.805069
390.318M	-101.388006
390.378M	-100.392893
390.438M	-96.765196
390.498M	-94.178776
390.558M	-93.057410
390.618M	-93.536886
390.679M	-95.300451
390.739M	-97.445127
390.799M	-97.480269
390.859M	-95.389156
390.919M	-94.507588
390.979M	-95.914661
391.039M	-98.607737
391.099M	-98.394092
391.159M	-96.835021
391.219M	-96.470384
391.280M	-96.295330
391.340M	-95.809257
391.400M	-96.430918
391.460M	-97.576027
391.520M	-97.625902
391.580M	-98.366168
391.640M	-99.309284
391.700M	-98.039227
391.760M	-96.542984
391.820M	-95.883813
391.881M	-96.736207
