Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-94.555044
385.090M	-95.299946
385.150M	-98.895026
385.210M	-100.335229
385.270M	-95.592717
385.330M	-93.422977
385.390M	-93.528525
385.450M	-95.188179
385.510M	-96.405434
385.570M	-95.466225
385.631M	-94.885142
385.691M	-95.727973
385.751M	-96.110850
385.811M	-96.006480
385.871M	-96.802298
385.931M	-96.532917
385.991M	-96.922247
386.051M	-98.524832
386.111M	-98.190038
386.171M	-98.883287
386.231M	-103.047113
386.292M	-98.228843
386.352M	-94.602949
386.412M	-94.755300
386.472M	-97.102569
386.532M	-97.700079
386.592M	-96.190956
386.652M	-95.464748
386.712M	-95.391478
386.772M	-95.667787
386.832M	-96.133789
386.893M	-96.466135
386.953M	-96.822239
387.013M	-97.043536
387.073M	-96.507232
387.133M	-95.692282
387.193M	-95.936878
387.253M	-96.944653
387.313M	-96.060069
387.373M	-94.246899
387.433M	-93.532407
387.493M	-94.249542
387.554M	-95.910945
387.614M	-96.898745
387.674M	-95.947721
387.734M	-94.772896
387.794M	-95.115173
387.854M	-96.712716
387.914M	-98.261597
387.974M	-98.965298
388.034M	-98.232651
388.094M	-97.798776
388.155M	-98.651891
388.215M	-99.339826
388.275M	-98.427456
388.335M	-98.371870
388.395M	-100.053759
388.455M	-99.074551
388.515M	-97.047193
388.575M	-98.446941
388.635M	-98.391098
388.695M	-96.089795
388.756M	-96.216148
388.816M	-98.002700
388.876M	-99.182115
388.936M	-99.347214
388.996M	-98.170022
389.056M	-95.922353
389.116M	-95.027319
389.176M	-96.341417
389.236M	-98.127585
389.296M	-98.221289
389.356M	-97.594923
389.417M	-96.889359
389.477M	-97.397145
389.537M	-97.599364
389.597M	-96.664015
389.657M	-96.666101
389.717M	-97.075448
389.777M	-96.659618
389.837M	-96.704331
389.897M	-96.663290
389.957M	-94.962851
390.018M	-94.815603
390.078M	-98.039852
390.138M	-104.008812
390.198M	-100.524319
390.258M	-97.006779
390.318M	-95.261380
390.378M	-94.268396
390.438M	-94.627548
390.498M	-96.418633
390.558M	-97.578018
390.618M	-97.081324
390.679M	-96.832732
390.739M	-96.793505
390.799M	-97.196738
390.859M	-97.602204
390.919M	-96.489456
