Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-96.667253
385.090M	-97.724795
385.150M	-99.353368
385.210M	-99.570173
385.270M	-98.090723
385.330M	-95.850661
385.390M	-95.137473
385.450M	-96.949355
385.510M	-99.678721
385.570M	-102.794877
385.631M	-100.997202
385.691M	-96.959065
385.751M	-95.913121
385.811M	-95.612921
385.871M	-94.477589
385.931M	-94.131003
385.991M	-95.267188
386.051M	-94.635830
386.111M	-93.377748
386.171M	-93.563826
386.231M	-93.678174
386.292M	-93.964370
386.352M	-95.203123
386.412M	-96.662400
386.472M	-95.558604
386.532M	-94.490047
386.592M	-95.215277
386.652M	-96.887555
386.712M	-98.647591
386.772M	-98.365487
386.832M	-96.781829
386.893M	-96.056603
386.953M	-96.071221
387.013M	-98.510246
387.073M	-102.708829
387.133M	-99.807409
387.193M	-98.133547
387.253M	-97.362041
387.313M	-95.988479
387.373M	-95.866951
387.433M	-97.129126
387.493M	-97.474011
387.554M	-97.325092
387.614M	-96.910166
387.674M	-95.754305
387.734M	-95.829702
387.794M	-96.946105
387.854M	-97.122261
387.914M	-96.218066
387.974M	-95.425452
388.034M	-95.569718
388.094M	-96.251519
388.155M	-96.324894
388.215M	-96.139547
388.275M	-97.049222
388.335M	-98.692901
388.395M	-99.653845
388.455M	-100.642279
388.515M	-101.499287
388.575M	-100.743843
388.635M	-98.413800
388.695M	-96.169990
388.756M	-95.545741
388.816M	-94.805249
388.876M	-93.622293
388.936M	-93.651530
388.996M	-94.541333
389.056M	-95.287650
389.116M	-95.254308
389.176M	-94.982274
389.236M	-95.471545
389.296M	-97.030221
389.356M	-97.706285
389.417M	-96.680014
389.477M	-96.173131
389.537M	-97.316038
389.597M	-98.225944
389.657M	-96.624442
389.717M	-95.189215
389.777M	-94.795890
389.837M	-95.096628
389.897M	-95.890141
389.957M	-96.264437
390.018M	-96.269904
390.078M	-97.277295
390.138M	-97.529065
390.198M	-97.351495
390.258M	-98.459894
390.318M	-99.562217
390.378M	-100.158238
390.438M	-99.286761
390.498M	-97.709887
390.558M	-96.476046
390.618M	-96.208633
390.679M	-95.797176
390.739M	-95.031914
390.799M	-95.395906
390.859M	-96.832655
390.919M	-98.331221
390.979M	-98.467430
391.039M	-98.147340
391.099M	-97.843757
391.159M	-97.122881
391.219M	-96.920354
391.280M	-97.058074
391.340M	-98.143973
391.400M	-98.868512
391.460M	-97.051853
391.520M	-96.059295
391.580M	-95.938056
391.640M	-94.495154
391.700M	-93.771073
391.760M	-95.014188
391.820M	-97.460830
391.881M	-99.714296
391.941M	-99.229198
392.001M	-98.846701
392.061M	-98.440044
392.121M	-97.865164
392.181M	-98.858857
392.241M	-98.755720
392.301M	-96.902725
392.361M	-96.808942
392.421M	-99.226501
392.481M	-99.853989
392.542M	-96.394611
392.602M	-94.242491
392.662M	-93.768768
392.722M	-94.103456
392.782M	-94.910194
392.842M	-96.610568
392.902M	-99.466273
392.962M	-105.025382
393.022M	-106.273087
393.082M	-100.712438
393.143M	-97.995433
393.203M	-96.644633
393.263M	-95.585354
393.323M	-95.709424
393.383M	-97.429158
393.443M	-96.985988
393.503M	-94.330253
393.563M	-93.894801
393.623M	-95.456638
393.683M	-95.927718
393.743M	-96.227710
393.804M	-98.354307
393.864M	-99.905216
393.924M	-99.286646
393.984M	-97.462413
394.044M	-95.391565
394.104M	-95.085318
394.164M	-95.696714
394.224M	-94.358373
394.284M	-92.832905
394.344M	-93.094054
394.405M	-94.628361
394.465M	-95.234597
394.525M	-94.909872
394.585M	-95.930455
394.645M	-98.658916
394.705M	-98.639679
394.765M	-95.620688
394.825M	-94.088557
394.885M	-94.484213
394.945M	-96.747463
395.006M	-100.017798
395.066M	-98.655509
395.126M	-95.964877
395.186M	-95.173274
395.246M	-94.832532
395.306M	-94.991513
395.366M	-96.807582
395.426M	-97.287386
395.486M	-95.329224
395.546M	-95.022186
395.606M	-95.790177
395.667M	-95.343326
395.727M	-95.310460
395.787M	-95.741600
395.847M	-94.819708
395.907M	-94.148092
395.967M	-94.444885
396.027M	-95.435052
396.087M	-96.700736
396.147M	-95.773128
396.207M	-93.901818
396.268M	-93.575832
396.328M	-95.354832
396.388M	-98.029654
396.448M	-97.507112
396.508M	-94.877236
396.568M	-92.832054
396.628M	-92.707280
396.688M	-94.352786
396.748M	-95.516113
396.808M	-95.532108
396.868M	-96.267942
396.929M	-97.385812
396.989M	-97.727740
397.049M	-97.293777
397.109M	-96.705671
397.169M	-96.411920
397.229M	-96.651287
397.289M	-96.652483
397.349M	-96.512551
397.409M	-97.246511
397.469M	-98.292734
397.530M	-98.440868
397.590M	-97.949014
397.650M	-97.529148
397.710M	-97.952580
397.770M	-96.873255
397.830M	-95.115407
397.890M	-94.855091
397.950M	-95.287749
398.010M	-96.275167
398.070M	-97.713435
398.131M	-95.461407
398.191M	-93.602886
398.251M	-94.241369
398.311M	-96.534251
398.371M	-98.265109
398.431M	-96.242341
398.491M	-94.288948
398.551M	-93.662165
398.611M	-93.856674
398.671M	-94.986753
398.731M	-97.320587
398.792M	-98.602875
398.852M	-96.469542
398.912M	-95.410678
398.972M	-96.464522
399.032M	-97.223140
399.092M	-95.113792
399.152M	-94.427484
399.212M	-95.356046
399.272M	-95.408578
399.332M	-95.194394
399.393M	-95.513892
399.453M	-96.024196
399.513M	-97.193300
399.573M	-99.390693
399.633M	-100.419549
399.693M	-99.231233
399.753M	-100.248198
399.813M	-101.409326
399.873M	-99.016585
399.933M	-96.841034
399.993M	-95.841110
400.054M	-96.151181
400.114M	-96.338329
400.174M	-95.525317
400.234M	-94.247700
400.294M	-93.610329
400.354M	-93.722623
400.414M	-93.818789
400.474M	-94.381807
400.534M	-95.636446
400.594M	-96.976561
400.655M	-97.340466
400.715M	-96.489197
400.775M	-94.523805
400.835M	-92.762468
400.895M	-92.821966
400.955M	-95.078217
401.015M	-96.856599
401.075M	-96.296632
401.135M	-98.317559
401.195M	-98.496999
401.256M	-94.359113
401.316M	-93.949753
401.376M	-97.968651
401.436M	-102.936837
401.496M	-98.499280
401.556M	-96.335015
401.616M	-95.918789
401.676M	-99.114101
401.736M	-100.678018
401.796M	-100.174319
401.856M	-96.910456
401.917M	-95.627618
401.977M	-95.836961
402.037M	-93.398994
402.097M	-90.556001
402.157M	-87.462573
402.217M	-82.068798
402.277M	-77.186666
402.337M	-74.487299
402.397M	-73.783394
402.457M	-73.514209
402.518M	-73.627433
402.578M	-75.214166
402.638M	-75.636907
402.698M	-73.604876
402.758M	-72.591086
402.818M	-72.446582
402.878M	-72.003724
402.938M	-71.542219
402.998M	-70.933555
403.058M	-70.952735
403.118M	-72.767052
403.179M	-75.572901
403.239M	-76.522035
403.299M	-77.007868
403.359M	-75.899944
403.419M	-73.138020
403.479M	-72.547509
403.539M	-74.477105
403.599M	-75.208821
403.659M	-72.897319
403.719M	-71.933245
403.780M	-72.894041
403.840M	-75.094607
403.900M	-75.612297
403.960M	-74.084913
404.020M	-73.569100
404.080M	-74.437080
404.140M	-75.228473
404.200M	-75.529300
404.260M	-75.628838
404.320M	-74.336825
404.381M	-73.131481
404.441M	-73.412077
404.501M	-73.958827
