Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-95.038019
385.090M	-95.816610
385.150M	-97.125811
385.210M	-98.576435
385.270M	-100.106590
385.330M	-100.070223
385.390M	-99.335763
385.450M	-100.156429
385.510M	-101.817757
385.570M	-99.563582
385.631M	-95.687050
385.691M	-93.810377
385.751M	-93.847721
385.811M	-95.202756
385.871M	-96.456073
385.931M	-96.329283
385.991M	-96.374055
386.051M	-96.703635
386.111M	-97.082532
386.171M	-97.745739
386.231M	-98.593136
386.292M	-98.605670
386.352M	-97.810940
386.412M	-97.240269
386.472M	-95.992936
386.532M	-95.206860
386.592M	-96.170112
386.652M	-97.784620
386.712M	-98.453060
386.772M	-98.969636
386.832M	-99.826285
386.893M	-97.609790
386.953M	-95.719057
387.013M	-95.764728
387.073M	-94.564029
387.133M	-92.773275
387.193M	-93.388488
387.253M	-97.307473
387.313M	-100.167185
387.373M	-99.408466
387.433M	-98.591876
387.493M	-96.418757
387.554M	-95.336129
387.614M	-96.079495
387.674M	-98.175249
387.734M	-100.220762
387.794M	-100.144658
387.854M	-98.802999
387.914M	-98.563393
387.974M	-99.815475
388.034M	-100.287408
388.094M	-97.424012
388.155M	-94.785971
388.215M	-93.719975
388.275M	-94.228159
388.335M	-95.520160
388.395M	-96.291620
388.455M	-95.545069
388.515M	-93.926659
388.575M	-93.331757
388.635M	-94.260710
388.695M	-96.177060
388.756M	-98.495247
388.816M	-99.789215
388.876M	-99.141371
388.936M	-97.855184
388.996M	-96.630173
389.056M	-96.287364
389.116M	-96.208861
389.176M	-95.331867
389.236M	-94.992707
389.296M	-96.322575
389.356M	-99.322408
389.417M	-99.858590
389.477M	-96.823164
389.537M	-95.303615
389.597M	-93.942555
389.657M	-93.406742
389.717M	-95.049491
389.777M	-97.513394
389.837M	-96.386797
389.897M	-94.847428
389.957M	-94.939817
390.018M	-95.211135
390.078M	-96.081217
390.138M	-97.619361
390.198M	-97.335448
390.258M	-96.262829
390.318M	-95.804620
390.378M	-95.370222
390.438M	-95.464796
390.498M	-95.598802
390.558M	-95.218769
390.618M	-95.430203
390.679M	-94.955354
390.739M	-94.523452
390.799M	-95.449081
390.859M	-96.972234
390.919M	-97.314270
390.979M	-95.024338
391.039M	-93.123905
391.099M	-92.941181
391.159M	-94.064102
391.219M	-95.142631
391.280M	-95.353337
391.340M	-96.167152
391.400M	-97.073520
391.460M	-95.954604
391.520M	-95.623763
391.580M	-96.733151
391.640M	-97.468291
391.700M	-98.000428
391.760M	-97.598126
391.820M	-96.668719
391.881M	-96.063768
391.941M	-95.567525
392.001M	-96.145952
392.061M	-97.633696
392.121M	-98.203033
392.181M	-98.508146
392.241M	-98.816803
392.301M	-97.843583
392.361M	-97.244599
392.421M	-97.898602
392.481M	-98.245603
392.542M	-97.683254
392.602M	-98.019700
392.662M	-97.193572
392.722M	-95.995592
392.782M	-95.532240
392.842M	-95.428790
392.902M	-95.280943
392.962M	-95.408100
393.022M	-96.734011
393.082M	-98.776425
393.143M	-99.132946
393.203M	-98.386945
393.263M	-97.810099
393.323M	-98.123242
393.383M	-97.887934
393.443M	-97.735083
393.503M	-99.293009
393.563M	-99.492666
393.623M	-100.453970
393.683M	-103.560637
393.743M	-100.269876
393.804M	-96.268744
393.864M	-94.360508
393.924M	-94.293977
393.984M	-94.993931
394.044M	-95.551240
394.104M	-95.370566
394.164M	-95.122803
394.224M	-95.203414
394.284M	-95.031298
394.344M	-95.890619
394.405M	-96.953212
394.465M	-96.910766
394.525M	-97.109645
394.585M	-97.068056
394.645M	-96.655030
394.705M	-96.849147
394.765M	-97.284079
394.825M	-97.408172
394.885M	-96.200704
394.945M	-94.807790
395.006M	-94.648959
395.066M	-94.805453
395.126M	-94.193901
395.186M	-94.141132
395.246M	-95.408575
395.306M	-98.080528
395.366M	-98.048945
395.426M	-96.789862
395.486M	-98.314813
395.546M	-99.485015
395.606M	-97.260804
395.667M	-95.899506
395.727M	-95.331315
395.787M	-95.170363
395.847M	-94.475842
395.907M	-92.575999
395.967M	-92.177746
396.027M	-93.952277
396.087M	-96.415046
396.147M	-97.433080
396.207M	-96.291412
396.268M	-95.422224
396.328M	-96.279494
396.388M	-97.871024
396.448M	-98.338704
396.508M	-97.150037
396.568M	-96.753605
396.628M	-95.862780
396.688M	-94.808624
396.748M	-96.158588
396.808M	-98.054999
396.868M	-98.296226
396.929M	-98.247234
396.989M	-95.933967
397.049M	-94.051299
397.109M	-93.775488
397.169M	-94.339179
397.229M	-95.876406
397.289M	-98.417746
397.349M	-97.999293
397.409M	-96.419077
397.469M	-95.747283
397.530M	-94.909144
397.590M	-94.894987
397.650M	-96.740782
397.710M	-97.787750
397.770M	-96.732405
397.830M	-96.179894
397.890M	-96.075947
397.950M	-96.249900
398.010M	-95.911927
398.070M	-94.764173
398.131M	-94.441616
398.191M	-95.052782
398.251M	-94.749718
398.311M	-94.106838
398.371M	-94.815995
398.431M	-96.004008
398.491M	-95.944259
398.551M	-95.168290
398.611M	-94.959322
398.671M	-95.690682
398.731M	-96.504767
398.792M	-97.382891
398.852M	-97.632963
398.912M	-96.543945
398.972M	-95.711191
399.032M	-95.107081
399.092M	-93.274497
399.152M	-91.579403
399.212M	-91.354584
399.272M	-92.748499
399.332M	-95.602295
399.393M	-98.924340
399.453M	-100.030917
399.513M	-99.727713
399.573M	-99.196011
399.633M	-97.094480
399.693M	-95.080002
399.753M	-94.757476
399.813M	-97.197813
399.873M	-101.527706
399.933M	-100.079849
399.993M	-97.720756
400.054M	-96.677498
400.114M	-96.418249
400.174M	-97.043180
400.234M	-96.972728
400.294M	-95.183105
400.354M	-93.683559
400.414M	-94.265324
400.474M	-95.295045
400.534M	-94.730090
400.594M	-95.054408
400.655M	-97.040182
400.715M	-99.541306
400.775M	-101.324694
400.835M	-102.024473
400.895M	-102.482961
400.955M	-100.099169
401.015M	-96.648615
401.075M	-94.406021
401.135M	-93.679024
401.195M	-94.599240
401.256M	-96.870486
401.316M	-97.788402
401.376M	-95.199137
401.436M	-93.501677
401.496M	-93.075868
401.556M	-93.777401
401.616M	-94.634131
401.676M	-94.871479
401.736M	-94.363417
401.796M	-93.635355
401.856M	-93.593968
401.917M	-94.490827
401.977M	-94.454635
402.037M	-92.130559
402.097M	-88.627391
402.157M	-85.850372
402.217M	-84.848100
402.277M	-81.297849
402.337M	-77.316948
402.397M	-76.906505
402.457M	-77.268126
402.518M	-74.702936
402.578M	-73.293485
402.638M	-72.253923
402.698M	-70.595970
402.758M	-70.483447
402.818M	-73.013970
402.878M	-76.035591
402.938M	-77.132877
402.998M	-76.356190
403.058M	-73.451556
403.118M	-73.155965
403.179M	-74.610062
403.239M	-75.203146
403.299M	-75.678541
403.359M	-74.165263
403.419M	-72.918733
403.479M	-72.671663
403.539M	-72.236360
403.599M	-71.977499
403.659M	-72.536193
403.719M	-74.510158
403.780M	-77.998315
403.840M	-79.659445
403.900M	-76.866639
403.960M	-75.010585
404.020M	-75.187780
404.080M	-74.369017
404.140M	-73.749272
404.200M	-74.947455
404.260M	-75.690312
404.320M	-74.892265
404.381M	-73.994822
404.441M	-73.904981
404.501M	-75.873048
404.561M	-79.036143
404.621M	-77.821555
404.681M	-76.585704
404.741M	-74.599229
404.801M	-71.238294
404.861M	-69.737808
404.921M	-70.009526
404.981M	-70.901458
405.042M	-72.547218
405.102M	-74.033631
405.162M	-72.375788
405.222M	-71.137219
405.282M	-70.536578
405.342M	-69.819489
405.402M	-69.352480
405.462M	-69.509545
405.522M	-70.584240
405.582M	-71.906553
405.643M	-72.543128
405.703M	-72.250498
405.763M	-71.396912
405.823M	-71.563847
405.883M	-72.525210
405.943M	-72.881295
406.003M	-73.301907
406.063M	-75.505401
406.123M	-78.635625
406.183M	-75.155189
406.243M	-72.447112
406.304M	-72.197447
406.364M	-73.920694
406.424M	-75.724502
406.484M	-75.285502
406.544M	-73.233942
406.604M	-70.874881
406.664M	-69.860604
406.724M	-71.268527
406.784M	-73.650964
406.844M	-72.551253
406.905M	-71.370194
406.965M	-72.119327
407.025M	-74.285714
407.085M	-75.974200
407.145M	-76.616078
407.205M	-76.747738
407.265M	-76.777493
407.325M	-77.433729
407.385M	-76.551791
407.445M	-74.116061
407.506M	-72.443418
407.566M	-72.895479
407.626M	-75.995277
407.686M	-79.814347
407.746M	-80.983896
407.806M	-84.134260
407.866M	-90.656231
407.926M	-92.833598
407.986M	-90.989785
408.046M	-87.849033
408.106M	-82.920916
408.167M	-78.044862
408.227M	-74.721270
408.287M	-73.258900
408.347M	-72.995500
408.407M	-73.064339
408.467M	-73.912390
408.527M	-75.466823
408.587M	-75.446186
408.647M	-73.264434
408.707M	-72.868130
408.768M	-76.186666
408.828M	-78.511809
408.888M	-74.345637
408.948M	-71.713143
409.008M	-70.157160
409.068M	-69.807153
409.128M	-70.805507
