Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-99.256572
385.090M	-99.765752
385.150M	-98.462346
385.210M	-95.947349
385.270M	-95.734488
385.330M	-98.475665
385.390M	-100.609965
385.450M	-98.415106
385.510M	-95.788396
385.570M	-94.684047
385.631M	-95.253090
385.691M	-96.892891
385.751M	-98.559897
385.811M	-99.059579
385.871M	-99.131978
385.931M	-99.806922
385.991M	-100.149859
386.051M	-98.205018
386.111M	-95.561248
386.171M	-94.840454
386.231M	-95.737518
386.292M	-97.008459
386.352M	-97.307270
386.412M	-96.027401
386.472M	-94.760761
386.532M	-94.221085
386.592M	-94.722880
386.652M	-96.503972
386.712M	-97.604616
386.772M	-95.951940
386.832M	-94.906280
386.893M	-95.003977
386.953M	-95.330331
387.013M	-95.221310
387.073M	-95.150355
387.133M	-95.974962
387.193M	-96.074356
387.253M	-95.289029
387.313M	-94.949428
387.373M	-94.705585
387.433M	-94.239852
387.493M	-95.306166
387.554M	-99.068823
387.614M	-100.386566
387.674M	-97.865379
387.734M	-96.789689
387.794M	-96.741721
387.854M	-96.495116
387.914M	-95.170663
387.974M	-94.342110
388.034M	-94.805794
388.094M	-95.810286
388.155M	-96.433143
388.215M	-95.727559
388.275M	-94.699313
388.335M	-94.993801
388.395M	-96.518824
388.455M	-96.314201
388.515M	-95.410790
388.575M	-96.221321
388.635M	-96.599329
388.695M	-96.125528
388.756M	-96.490684
388.816M	-97.239131
388.876M	-97.859020
388.936M	-96.495389
388.996M	-94.049812
389.056M	-93.002778
389.116M	-94.062433
389.176M	-96.509675
389.236M	-97.484644
389.296M	-97.170195
389.356M	-97.031466
389.417M	-96.957700
389.477M	-97.012152
389.537M	-98.412008
389.597M	-100.462892
389.657M	-100.637758
389.717M	-98.461423
389.777M	-96.258740
389.837M	-95.458519
389.897M	-96.028842
389.957M	-97.274849
390.018M	-96.635939
390.078M	-94.523283
390.138M	-94.347348
390.198M	-96.593214
390.258M	-99.963728
390.318M	-99.828724
390.378M	-97.667685
390.438M	-97.156681
390.498M	-98.395141
390.558M	-100.557230
390.618M	-101.482398
390.679M	-98.595332
390.739M	-96.975365
390.799M	-96.811440
390.859M	-96.390676
390.919M	-95.790292
390.979M	-94.834290
391.039M	-94.822984
391.099M	-96.276778
391.159M	-98.933494
391.219M	-99.847079
391.280M	-96.734392
391.340M	-94.270246
391.400M	-92.901476
391.460M	-92.556281
391.520M	-94.255656
391.580M	-97.651888
391.640M	-99.243146
391.700M	-99.752889
391.760M	-99.333355
391.820M	-97.705570
391.881M	-96.578667
391.941M	-96.268398
392.001M	-96.347434
392.061M	-96.777821
392.121M	-97.297848
392.181M	-98.134264
392.241M	-98.399498
392.301M	-98.105800
392.361M	-97.641955
392.421M	-96.602649
392.481M	-96.424066
392.542M	-97.251413
392.602M	-96.467503
392.662M	-95.197311
392.722M	-95.838155
392.782M	-98.117560
392.842M	-100.152074
392.902M	-100.590485
392.962M	-101.156111
393.022M	-101.046322
393.082M	-99.559213
393.143M	-100.148974
393.203M	-99.081306
393.263M	-96.956982
393.323M	-96.176837
393.383M	-95.804658
393.443M	-95.992320
393.503M	-97.154634
393.563M	-98.455968
393.623M	-99.053906
393.683M	-99.709182
393.743M	-100.123862
393.804M	-98.548531
393.864M	-96.114254
393.924M	-94.675043
393.984M	-94.061556
394.044M	-94.321550
394.104M	-95.768667
394.164M	-98.332626
394.224M	-99.801027
394.284M	-98.195020
394.344M	-97.587877
394.405M	-97.747219
394.465M	-98.693247
394.525M	-100.876862
394.585M	-102.550877
394.645M	-101.010273
394.705M	-97.149887
394.765M	-95.733960
394.825M	-95.537447
394.885M	-95.019591
394.945M	-94.787077
395.006M	-95.238491
395.066M	-96.286440
395.126M	-96.515968
395.186M	-96.430183
395.246M	-96.631598
395.306M	-96.514457
395.366M	-96.306146
395.426M	-95.521874
395.486M	-95.500764
395.546M	-96.919235
395.606M	-96.955303
395.667M	-93.935838
395.727M	-91.747676
395.787M	-91.628102
395.847M	-93.546316
395.907M	-96.280800
395.967M	-97.095677
396.027M	-96.566987
396.087M	-95.567168
396.147M	-94.580113
396.207M	-94.979422
396.268M	-96.136823
396.328M	-97.670564
396.388M	-98.938398
396.448M	-97.594413
396.508M	-96.643264
396.568M	-97.192028
396.628M	-98.612637
396.688M	-100.786339
396.748M	-102.415312
396.808M	-101.337301
396.868M	-100.845903
396.929M	-98.183166
