Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-98.133462
385.090M	-97.718734
385.150M	-96.586409
385.210M	-97.377011
385.270M	-98.686352
385.330M	-97.691624
385.390M	-96.679241
385.450M	-96.586633
385.510M	-96.381266
385.570M	-96.144121
385.631M	-96.472037
385.691M	-97.039686
385.751M	-97.290864
385.811M	-97.507750
385.871M	-97.309200
385.931M	-96.463375
385.991M	-95.679952
386.051M	-94.895009
386.111M	-94.700904
386.171M	-96.000248
386.231M	-97.677141
386.292M	-96.976520
386.352M	-96.090664
386.412M	-96.234986
386.472M	-97.085966
386.532M	-98.934966
386.592M	-100.216707
386.652M	-98.624861
386.712M	-97.943643
386.772M	-97.199297
386.832M	-96.666113
386.893M	-97.756244
386.953M	-99.100235
387.013M	-97.866534
387.073M	-95.319206
387.133M	-93.639497
387.193M	-93.358650
387.253M	-93.750335
387.313M	-94.056815
387.373M	-94.994487
387.433M	-96.207575
387.493M	-96.511228
387.554M	-96.687975
387.614M	-97.849413
387.674M	-99.993260
387.734M	-99.659403
387.794M	-96.602320
387.854M	-94.866432
387.914M	-94.764154
387.974M	-94.926929
388.034M	-94.473751
388.094M	-94.902059
388.155M	-97.768862
388.215M	-101.776926
388.275M	-100.409092
388.335M	-97.840572
388.395M	-95.956717
388.455M	-94.521046
388.515M	-93.606476
388.575M	-93.159085
388.635M	-92.884539
388.695M	-93.029245
388.756M	-94.063745
388.816M	-95.394068
388.876M	-98.188928
388.936M	-102.480641
388.996M	-99.277602
389.056M	-96.120495
389.116M	-94.377452
389.176M	-94.093846
389.236M	-94.462526
389.296M	-95.056944
389.356M	-96.714393
389.417M	-99.036835
389.477M	-98.329098
389.537M	-97.229404
389.597M	-98.103491
389.657M	-101.080738
389.717M	-100.540676
389.777M	-96.979718
389.837M	-95.120477
389.897M	-94.678036
389.957M	-95.434642
390.018M	-97.890092
390.078M	-99.385580
390.138M	-96.979995
390.198M	-95.170413
390.258M	-94.664025
390.318M	-95.483112
390.378M	-96.947525
390.438M	-96.876211
390.498M	-95.920676
390.558M	-96.029102
390.618M	-96.653807
390.679M	-97.613256
390.739M	-97.898422
390.799M	-96.365963
390.859M	-94.682737
390.919M	-93.839658
390.979M	-94.068008
391.039M	-94.980112
391.099M	-94.054265
391.159M	-92.421828
391.219M	-92.415336
391.280M	-94.525690
391.340M	-97.118215
391.400M	-97.806744
391.460M	-99.185949
391.520M	-104.030700
391.580M	-105.918580
391.640M	-102.987110
391.700M	-101.562066
391.760M	-99.656359
391.820M	-98.396691
391.881M	-97.702920
391.941M	-97.967269
392.001M	-98.792245
392.061M	-98.394591
392.121M	-97.609930
392.181M	-97.160653
392.241M	-98.745090
392.301M	-101.861643
392.361M	-100.223910
392.421M	-100.106514
392.481M	-102.674777
392.542M	-104.566070
392.602M	-100.989164
392.662M	-96.831956
392.722M	-95.274317
392.782M	-95.371782
392.842M	-96.446738
392.902M	-98.436538
392.962M	-100.470010
393.022M	-98.574115
393.082M	-95.794732
393.143M	-94.577642
393.203M	-95.085884
393.263M	-96.312820
393.323M	-96.628275
393.383M	-95.867777
393.443M	-97.221015
393.503M	-102.446446
393.563M	-102.664845
393.623M	-101.560299
393.683M	-100.820842
393.743M	-97.758260
393.804M	-96.091681
393.864M	-95.054578
393.924M	-94.070048
393.984M	-93.896960
394.044M	-94.438228
394.104M	-94.564510
394.164M	-93.409312
394.224M	-91.952667
394.284M	-91.158843
394.344M	-91.621299
394.405M	-93.230894
394.465M	-95.088739
394.525M	-96.767080
394.585M	-97.764127
394.645M	-96.211245
394.705M	-94.261693
394.765M	-94.576343
394.825M	-96.921066
394.885M	-98.698099
394.945M	-98.971268
395.006M	-99.982861
395.066M	-101.181423
395.126M	-96.396738
395.186M	-93.268878
395.246M	-93.272015
395.306M	-94.943018
395.366M	-96.008141
395.426M	-96.476891
395.486M	-96.561255
395.546M	-96.009150
395.606M	-95.593992
395.667M	-95.543557
395.727M	-95.647443
395.787M	-95.674193
395.847M	-95.415495
395.907M	-94.448137
395.967M	-93.659775
396.027M	-93.620821
396.087M	-94.036600
396.147M	-94.565912
396.207M	-95.454423
396.268M	-95.049841
396.328M	-93.784136
396.388M	-93.608671
396.448M	-94.319320
396.508M	-94.643654
396.568M	-94.623221
396.628M	-95.206851
396.688M	-96.065857
396.748M	-96.747917
396.808M	-96.752001
396.868M	-95.098965
396.929M	-94.497998
396.989M	-95.992767
397.049M	-97.172254
397.109M	-97.907579
397.169M	-99.024561
397.229M	-98.437327
397.289M	-97.050598
397.349M	-96.655475
397.409M	-97.712931
397.469M	-98.827440
397.530M	-99.131710
397.590M	-98.163881
397.650M	-96.134516
397.710M	-95.570385
397.770M	-96.217092
397.830M	-97.150004
397.890M	-97.745304
397.950M	-97.661830
398.010M	-98.229929
398.070M	-98.118740
398.131M	-96.508317
398.191M	-96.741616
398.251M	-99.351980
398.311M	-100.772348
398.371M	-97.843739
398.431M	-95.366960
398.491M	-93.311294
398.551M	-91.861055
398.611M	-91.487238
398.671M	-92.002199
398.731M	-93.511814
398.792M	-95.510559
398.852M	-96.265899
398.912M	-95.485692
398.972M	-94.464781
399.032M	-94.685438
399.092M	-96.569020
399.152M	-97.930932
399.212M	-95.265683
399.272M	-93.074059
399.332M	-92.911898
399.393M	-94.697691
399.453M	-97.591480
399.513M	-99.332052
399.573M	-99.485031
399.633M	-98.679474
399.693M	-96.214905
399.753M	-94.541109
399.813M	-94.849836
399.873M	-97.954146
399.933M	-98.752500
399.993M	-93.469665
400.054M	-91.863616
400.114M	-92.565920
400.174M	-93.825199
400.234M	-94.822216
400.294M	-95.765290
400.354M	-96.338989
400.414M	-95.852932
400.474M	-95.874061
400.534M	-96.350188
400.594M	-97.074168
400.655M	-100.079170
400.715M	-103.320622
400.775M	-101.372182
400.835M	-100.576414
400.895M	-100.232671
400.955M	-99.245385
401.015M	-97.938666
401.075M	-97.711570
401.135M	-98.453594
401.195M	-99.161700
401.256M	-97.957918
401.316M	-95.734017
401.376M	-94.610649
401.436M	-95.183822
401.496M	-96.402789
401.556M	-96.975884
401.616M	-95.997038
401.676M	-92.883636
401.736M	-93.027918
401.796M	-94.839845
401.856M	-97.769152
401.917M	-97.008803
401.977M	-93.854381
402.037M	-90.393645
402.097M	-87.900920
402.157M	-85.949002
402.217M	-82.733817
402.277M	-78.365740
402.337M	-75.426198
402.397M	-75.272761
402.457M	-75.727606
402.518M	-73.753758
402.578M	-72.780629
402.638M	-73.227314
402.698M	-74.664256
402.758M	-74.954707
402.818M	-73.344562
402.878M	-71.973661
402.938M	-70.640515
402.998M	-69.675528
403.058M	-69.942164
403.118M	-71.913925
403.179M	-75.829045
403.239M	-76.217202
403.299M	-73.557618
403.359M	-72.403682
403.419M	-72.866703
403.479M	-75.408036
403.539M	-75.950945
403.599M	-74.515467
403.659M	-75.416014
403.719M	-73.944128
403.780M	-70.998683
403.840M	-70.043019
403.900M	-70.009733
403.960M	-70.171253
404.020M	-70.828630
404.080M	-71.681912
404.140M	-72.353438
404.200M	-74.070880
404.260M	-77.175657
404.320M	-76.339385
404.381M	-74.923155
404.441M	-76.722312
404.501M	-77.934900
404.561M	-74.724972
404.621M	-74.330832
404.681M	-77.386029
404.741M	-79.547638
404.801M	-76.184815
404.861M	-73.322681
404.921M	-71.892584
404.981M	-71.662882
405.042M	-72.534000
405.102M	-73.216431
405.162M	-72.813129
405.222M	-74.096075
405.282M	-76.862528
405.342M	-77.110803
405.402M	-75.429304
405.462M	-73.875127
405.522M	-72.868014
405.582M	-72.565923
405.643M	-73.976286
405.703M	-75.969054
405.763M	-76.494886
405.823M	-78.232976
405.883M	-77.488132
405.943M	-74.024686
406.003M	-72.428734
406.063M	-72.785005
406.123M	-72.613704
406.183M	-71.450351
406.243M	-71.454016
406.304M	-72.625748
406.364M	-73.648842
406.424M	-73.713168
406.484M	-72.927412
406.544M	-72.395993
406.604M	-73.133628
406.664M	-74.364368
406.724M	-74.766342
406.784M	-75.203721
406.844M	-74.744846
406.905M	-75.308817
