Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-95.009470
385.090M	-96.583626
385.150M	-97.992549
385.210M	-98.185174
385.270M	-97.887266
385.330M	-97.405394
385.390M	-96.837880
385.450M	-96.041668
385.510M	-95.902724
385.570M	-96.163115
385.631M	-96.196686
385.691M	-96.761508
385.751M	-97.471565
385.811M	-96.689970
385.871M	-95.030334
385.931M	-93.582649
385.991M	-93.424806
386.051M	-94.824339
386.111M	-94.953420
386.171M	-93.176807
386.231M	-92.121166
386.292M	-92.576140
386.352M	-94.508334
386.412M	-96.523031
386.472M	-98.022945
386.532M	-97.958806
386.592M	-96.642900
386.652M	-95.816877
386.712M	-95.383959
386.772M	-95.496504
386.832M	-95.800275
386.893M	-95.646560
386.953M	-96.184778
387.013M	-97.663769
387.073M	-98.662036
387.133M	-98.763702
387.193M	-97.837225
387.253M	-96.294455
387.313M	-95.764492
387.373M	-96.248165
387.433M	-96.241673
387.493M	-95.401793
387.554M	-95.037643
387.614M	-95.655705
387.674M	-96.772175
387.734M	-96.975093
387.794M	-96.199373
387.854M	-95.735809
387.914M	-96.043779
387.974M	-96.122629
388.034M	-96.613272
388.094M	-98.444621
388.155M	-99.987676
388.215M	-101.577077
388.275M	-101.618444
388.335M	-98.995716
388.395M	-97.729964
388.455M	-96.922908
388.515M	-95.662053
388.575M	-95.056066
388.635M	-95.633463
388.695M	-96.695848
388.756M	-97.118558
388.816M	-96.859817
388.876M	-96.838789
388.936M	-98.086146
388.996M	-99.008179
389.056M	-99.063698
389.116M	-99.425929
389.176M	-98.935384
389.236M	-98.771986
389.296M	-99.725846
389.356M	-100.687446
389.417M	-99.846373
389.477M	-97.526858
389.537M	-96.535690
389.597M	-98.155167
389.657M	-100.767266
389.717M	-100.816805
389.777M	-99.932489
389.837M	-98.483622
389.897M	-96.259948
389.957M	-94.235177
390.018M	-94.250432
390.078M	-97.022425
390.138M	-98.601585
390.198M	-96.328187
390.258M	-95.217002
390.318M	-95.408123
390.378M	-96.461287
390.438M	-97.357945
390.498M	-97.400007
390.558M	-97.614490
390.618M	-97.297963
390.679M	-96.266553
390.739M	-96.655117
390.799M	-98.086206
390.859M	-97.178983
390.919M	-95.960895
390.979M	-95.921015
391.039M	-95.722603
391.099M	-96.456386
391.159M	-98.190261
391.219M	-97.019937
391.280M	-96.302792
391.340M	-98.649188
391.400M	-101.472573
391.460M	-97.503895
391.520M	-93.446340
391.580M	-92.028926
391.640M	-93.327145
391.700M	-96.614862
391.760M	-99.349059
391.820M	-98.461466
391.881M	-97.310453
391.941M	-98.228652
392.001M	-99.451855
392.061M	-99.941549
392.121M	-98.645831
392.181M	-96.056408
392.241M	-94.900975
392.301M	-95.685353
392.361M	-97.025771
392.421M	-96.574152
392.481M	-95.286527
392.542M	-94.389666
392.602M	-93.555963
392.662M	-92.721142
392.722M	-92.372027
392.782M	-92.956435
392.842M	-94.421706
392.902M	-95.453410
392.962M	-95.933337
393.022M	-96.761563
393.082M	-96.742594
393.143M	-96.317107
393.203M	-96.577305
393.263M	-96.490374
393.323M	-95.280792
393.383M	-95.107226
393.443M	-96.715973
393.503M	-96.491472
393.563M	-95.163158
393.623M	-95.912751
393.683M	-97.335655
393.743M	-97.982416
393.804M	-98.555042
393.864M	-99.385547
393.924M	-98.499424
393.984M	-97.112757
394.044M	-98.105809
394.104M	-102.936722
394.164M	-101.941245
394.224M	-97.311978
394.284M	-96.385889
394.344M	-97.451156
394.405M	-97.450198
394.465M	-96.069053
394.525M	-95.724682
394.585M	-96.468295
394.645M	-97.415113
394.705M	-98.886423
394.765M	-99.566865
394.825M	-97.880887
394.885M	-96.354762
394.945M	-95.895824
395.006M	-96.349490
395.066M	-96.581185
395.126M	-95.423586
395.186M	-95.070218
395.246M	-95.691364
395.306M	-95.778882
395.366M	-95.359524
395.426M	-96.246801
395.486M	-99.491562
395.546M	-101.666888
395.606M	-98.187945
395.667M	-95.626615
395.727M	-94.339583
395.787M	-94.197689
395.847M	-96.110713
395.907M	-99.388653
395.967M	-98.083886
396.027M	-94.730836
396.087M	-93.581308
396.147M	-94.206441
396.207M	-94.101411
396.268M	-92.904263
396.328M	-91.931962
396.388M	-92.224656
396.448M	-94.168506
396.508M	-96.466526
396.568M	-96.307388
396.628M	-95.514232
396.688M	-95.468219
396.748M	-95.109275
396.808M	-94.294979
396.868M	-94.258480
396.929M	-94.829329
396.989M	-95.112956
397.049M	-95.597005
397.109M	-95.129172
397.169M	-94.597973
397.229M	-94.541973
397.289M	-93.257699
397.349M	-92.225507
397.409M	-92.737903
397.469M	-94.747819
397.530M	-96.972135
397.590M	-97.782280
397.650M	-97.550261
397.710M	-97.080257
397.770M	-96.934356
397.830M	-97.829789
397.890M	-99.139902
397.950M	-98.205644
398.010M	-97.043124
398.070M	-97.197894
398.131M	-97.064367
398.191M	-96.639295
398.251M	-98.095482
398.311M	-98.071663
398.371M	-96.615798
398.431M	-96.165018
398.491M	-95.341157
398.551M	-94.645960
398.611M	-94.996110
398.671M	-96.886354
398.731M	-99.869199
398.792M	-98.589689
398.852M	-96.333149
398.912M	-96.669523
398.972M	-97.337936
399.032M	-95.478570
399.092M	-94.984220
399.152M	-96.362877
399.212M	-97.945641
399.272M	-97.857220
399.332M	-97.223134
399.393M	-96.543988
399.453M	-96.125878
399.513M	-96.272155
399.573M	-96.476776
399.633M	-95.871825
399.693M	-95.646742
399.753M	-95.995279
399.813M	-95.524463
399.873M	-94.463556
399.933M	-93.463478
399.993M	-93.353110
400.054M	-94.423230
400.114M	-95.509128
400.174M	-96.488487
400.234M	-97.908807
400.294M	-98.525988
400.354M	-97.248278
400.414M	-95.160725
400.474M	-93.079427
400.534M	-92.272343
400.594M	-93.824026
400.655M	-96.786441
400.715M	-96.494021
400.775M	-95.157391
400.835M	-94.657131
400.895M	-94.583745
400.955M	-94.068794
