"","Id","Product","Price"
"70","2004291","Refil Make B. Pó Compacto Matte","R$ 64,905x R$ 12,98"
"71","2004233","Make B. Solução para Sobrancelhas 6,8g","R$ 59,905x R$ 11,98"
"72","2004229","Make B.                    Batom Mate","R$ 46,90R$ 36,905x R$ 7,38"
"73","2004195","Make B. Pó Compacto Mate","R$ 85,905x R$ 17,18"
"74","2003787","Make B. Batom Perfeito Metal Glow Cosmic                    Grey, 3,6g","R$ 46,90R$ 27,905x R$ 5,58"
"75","2003729","Make B. Pincel Duo de Olhos","R$ 23,904x R$ 5,98"
"76","2003724","Make B. Pincel para Base Líquida","R$ 54,905x R$ 10,98"
"77","2003419","Intense Delineador Líquido Preto","R$ 35,905x R$ 7,18"
"78","2003380","Intense                    Batom Mate","R$ 23,904x R$ 5,98"
"79","2003333","Intense Máscara para Cílios Volume Mega                    Power","R$ 39,905x R$ 7,98"
"80","2003218","Intense Batom Líquido Mate","R$ 29,905x R$ 5,98"
"81","2000582","Apontador","R$ 19,903x R$ 6,63"
"82","2000577","Pincel para Delinear Sombra e Boca","R$ 21,90R$ 12,902x R$ 6,45"
"83","2000574","Pincel para esfumar Sombra","R$ 23,90R$ 13,902x R$ 6,95"
"84","2000572","Pincel Blush","R$ 44,90R$ 26,905x R$ 5,38"
"85","117","Make B. Solução para Sobrancelhas","R$ 59,90R$ 35,905x R$ 7,18"
"86","2005467","Make B. Hit Paleta Blush Peach, 8g","R$ 79,90R$ 63,905x R$ 12,78
            "
"87","2005399","Make B. Pincel Contorno Angular","R$ 54,905x R$ 10,98"
"88","2005381","Make B. Caneta Delineadora                    para Olhos Ponta Fina Preta, 1,2ml","R$ 55,905x R$ 11,18"
"89","2005380","Make B. Hit Paleta Blush Cherry, 8g","R$ 79,905x R$ 15,98"
"90","2005377","Make B. Rosto Spray Fixador Maquiagem,                    75ml/40g","R$ 59,905x R$ 11,98"
"91","2005369","Combo                    Cuide-se Bem Deleite: Hidratante Labial + Creme Desodorante Mãos + Capinha","R$ 66,70R$ 42,695x R$ 8,54"
"92","2005182","Kit                    Presente Glamour","R$ 252,60R$ 202,085x R$ 40,42
            "
"93","2005091","Make B. Pincel para marcar Côncavo","R$ 23,904x R$ 5,98"
"94","2005089","Estojo Make B. Pincéis + 4 Pincéis Make B.            ","R$ 149,905x R$ 29,98"
"95","2004987","Make B. Batom Cremoso Revolution","R$ 39,90R$ 31,905x R$ 6,38"
"96","2004889","Intense Delineador Super Glitter para                    Olhos Prata","R$ 29,905x R$ 5,98"
"97","2004632","Intense Lápis Sombra para Olhos","R$ 27,905x R$ 5,58"
"98","2004629","Intense Batom Matte","R$ 23,904x R$ 5,98"
"99","2004622","Make B. Batom Líquido Diamond Luxury","R$ 49,90R$ 39,905x R$ 7,98"
"100","2004618","Make B. Sombra Foil Multiefeito Diamond                    Fancy 4g","R$ 55,905x R$ 11,18"
"101","2004617","Make B. Paleta de Contorno Facial","R$ 89,905x R$ 17,98"
"102","2004392","Cuide-se Bem Hidratante Labial Caramelito                    6,2g","R$ 28,905x R$ 5,78"
"103","2004297","Make B. Pincel Escova Base","R$ 49,905x R$ 9,98"
"104","2004288","Make B. Sombra Trio UltiMate","R$ 69,905x R$ 13,98"
"105","2004259","Make B. Palette Maquiagem Perfect 12                    Neutrals","R$ 139,90R$ 111,905x R$ 22,38
            "
"106","2004234","Make B. Delineador Líquido Roller Preto","R$ 59,905x R$ 11,98"
"107","2004231","Make B. Corretivo Facial Flash Iluminador","R$ 75,905x R$ 15,18"
"108","2004204","Make B Batom Cremoso Sweet Rose","R$ 39,90R$ 31,905x R$ 6,38"
"109","2004203","Make B Lápis para Esfumar Olhos Preto","R$ 49,905x R$ 9,98"
"110","2004199","Make B. Batom Líquido Matte","R$ 47,90R$ 37,905x R$ 7,58"
"111","2004196","Make B. Pigmento para Olhos","R$ 59,905x R$ 11,98"
"112","2004159","Intense Delineador para Olhos em Gel Preto                    1,6g","R$ 49,905x R$ 9,98"
"113","2003831","Intense Batom Efeito Mate 360 Graus","R$ 23,904x R$ 5,98"
"114","2003813","Intense Lápis para Olhos Marrom","R$ 24,904x R$ 6,23"
"115","2003781","Make B. Trio de Contorno Facial","R$ 89,905x R$ 17,98"
"116","2003773","Make B. Pó Facial Bronzer Golden Flower","R$ 79,905x R$ 15,98"
"117","2003727","Make B. Pincel para Esfumar Sombra","R$ 23,904x R$ 5,98"
"118","2003726","Make B. Pincel para Aplicar Sombra","R$ 23,904x R$ 5,98"
"119","2003725","Make B. Pincel para Blush","R$ 44,905x R$ 8,98"
"120","2003723","Make                    B. Pincel para Pó","R$ 54,905x R$ 10,98"
"121","2003722","Make B. Pincel para Contorno Facial","R$ 45,905x R$ 9,18"
"122","2003721","Make B. Pincel para Corretivo Fibras Duplas            ","R$ 34,905x R$ 6,98"
"123","2003377","Intense Base Líquida Mate, 25ml","R$ 37,90R$ 22,704x R$ 5,68"
"124","2002326","Make B. Base Líquida Color Adapt, 30ml","R$ 69,90R$ 41,905x R$ 8,38"
"125","2000579","Pincel                    Retrátil Boca","R$ 28,90R$ 16,903x R$ 5,63"
"126","2000578","Pincel com esponja para Sombra","R$ 21,90R$ 12,902x R$ 6,45"
"127","2000570","Pincel Pó                    Facial","R$ 54,90R$ 32,905x R$ 6,58"
"128","2005383","Make B. Caneta Delineadora para Olhos                    Branca, 1,2ml","R$ 55,905x R$ 11,18"
"129","2005352","Make B. Corretivo Facial Flash Iluminador","R$ 75,905x R$ 15,18"
"130","2005230","Make B. Pincel Espiral para Pele","R$ 45,905x R$ 9,18"
"131","2005097","Make B. Palette de Maquiagem Perfect 12                    Neutrals, 8g","R$ 139,90R$ 111,905x R$ 22,38
            "
"132","2004953","Combo Intense: Batom Glossy Nude +                    Batom Mate 50 Looks","R$ 49,805x R$ 9,96"
"133","2004630","Intense Batom Cremoso","R$ 19,903x R$ 6,63"
"134","2004623","Make B. Batom Líquido Diamond Fantasy","R$ 49,90R$ 39,905x R$ 7,98"
"135","2004621","Make B. Pó Facial Multifuncional Diamond","R$ 79,905x R$ 15,98"
"136","2004620","Make B. Sombra Foil Multiefeito Diamond                    Radiance 4g","R$ 55,905x R$ 11,18"
"137","2004505","Intense Lápis para Sobrancelhas                    Castanho Claro, 1,1g","R$ 29,905x R$ 5,98"
"138","2004394","Intense Gloss Efeito Super Glitter 5,6ml","R$ 27,905x R$ 5,58"
"139","2004393","Intense Gloss Labial Efeito Holográfico                    5,6ml","R$ 27,905x R$ 5,58"
"140","2004391","Cuide-se Bem Hidratante Labial Leite e Mel                    6,2g","R$ 28,905x R$ 5,78"
"141","2004252","Make B. Lápis Retrátil para Olhos Marrom","R$ 47,905x R$ 9,58"
"142","2004227","Make B. Base Líquida Air Power","R$ 89,905x R$ 17,98"
"143","2004198","Make B.                    Batom Mate","R$ 46,90R$ 36,905x R$ 7,38"
"144","2004197","Make B.                    Lápis Labial","R$ 43,90R$ 34,905x R$ 6,98"
"145","2004160","Intense Demaquilante em Gel Bye Make 85g","R$ 37,905x R$ 7,58"
"146","2004158","Intense Duo Máscara para Cílios Perfect                    Doll 10g","R$ 49,905x R$ 9,98"
"147","2003786","Make B. Batom Perfeito Metal Glow                    Cosmic Brown, 3,6g","R$ 46,90R$ 27,905x R$ 5,58"
"148","2003728","Make B. Pincel para Delinear Sombra","R$ 23,904x R$ 5,98"
"149","2003720","Make B. Pincel para Base e Pó Fibras Duplas            ","R$ 54,905x R$ 10,98"
"150","2002328","Make B. Pó Compacto Color Adapt Refil                    Chocolate","R$ 64,90R$ 38,905x R$ 7,78"
"151","13","Make B. Lápis para Sobrancelha Marrom","R$ 49,905x R$ 9,98"
"152","2005256","Combo Intense Batom Mate Instalip:                    Nude Rosado + Vermelho","R$ 35,805x R$ 7,16"
"153","2004988","Make B. Batom Líquido Metálico Power","R$ 49,90R$ 39,905x R$ 7,98"
"154","2004948","Combo Make B.: Trio de                    Contorno Facial + Pincel para Contorno","R$ 135,805x R$ 27,16"
"155","2004822","Combo                    Make B. Pincéis: Base Líquida + Pó + Contorno Facial + Blush + Corretivo Fibras Duplas","R$ 235,505x R$ 47,10"
"156","2004787","Combo Intense                    Lápis Batom Instalip Mate: Nude Rosado + Roxo + Pink + Vermelho","R$ 71,605x R$ 14,32"
"157","2004626","Make B. Pincel Pigmento Rose Gold","R$ 29,905x R$ 5,98"
"158","2004619","Make B. Sombra Foil Multiefeito Diamond                    Glamour 4g","R$ 55,905x R$ 11,18"
"159","2004540","Intense Toalha Demaquilante Bye Make                    Poliéster","R$ 39,905x R$ 7,98"
"160","2004468","Make B Esponja Maquiagem Siliesponja","R$ 24,904x R$ 6,23"
"161","2003730","Make B. Pincel Retrátil para Lábios","R$ 28,905x R$ 5,78"
"162","2003574","Intense Superfix Duo Batom Mate e Brilho","R$ 39,905x R$ 7,98"
"163","2003229","Intense BB Cream, 25ml","R$ 38,905x R$ 7,78"
"164","2004955","Combo Intense: Super Glitter                    Dourado + Batom Glossy Nude","R$ 63,805x R$ 12,76"
"165","2004954","Combo Intense:                    Delineador Líquido Preto + Delineador Super Glitter Prata","R$ 63,805x R$ 12,76"
"166","2004258","Make B. Palette Maquiagem Perfect 12 Rosé","R$ 139,90R$ 111,905x R$ 22,38
            "
"167","2003068","Make B. Base Beauty Cushion","R$ 149,905x R$ 29,98"
"168","2005024","Combo Cílios Make B.: Curvador +                    Máscara Explosion Effect","R$ 106,805x R$ 21,36"
"169","2005021","Combo Make B.:                    Máscara Superalongamento + Batom Cremoso Revolution Red","R$ 94,80R$ 79,805x R$ 15,96
            "
"170","2004819","Combo                    Completo Capricho: Batom Cremoso Just Nude + Lápis Preto Olhos + Máscara Cílios + Creme Mãos +                    Nécessaire","R$ 131,505x R$ 26,30"
"171","2004785","Combo Intense Lápis                    Batom Instalip Mate: Nude + Roxo + Pink + Vermelho","R$ 71,605x R$ 14,32"
"172","2004016","Refil Make B. Base Beauty Cushion Líquida","R$ 95,905x R$ 19,18"
"173","2003709","Make B. Base Líquida Air Power","R$ 89,905x R$ 17,98"
"174","2005171","Combo Intense: Máscara                    para Cílios Volume + Lápis Preto + Nécessaire","R$ 98,705x R$ 19,74"
"175","2005112","Combo                    Intense: Nécessaire Cílios + Máscara para Cílios Perfect Doll + Batom Mate 14 Devaneios","R$ 108,705x R$ 21,74"
"176","2005023","Combo                    Make B.: Nécessaire Cílios + Máscara Explosion Effect + Batom Cremoso Revolution Red","R$ 153,70R$ 145,705x R$ 29,14
            "
"177","2005022","Combo Make B.:                    Máscara Volume Extremo + Batom Líquido Metálico Power Orange","R$ 102,80R$ 87,805x R$ 17,56
            "
"178","2005020","Combo Make B.:                    Máscara Explosion Effect + Batom Líquido Metálico Power Red","R$ 124,80R$ 116,805x R$ 23,36
            "
"179","2005019","Combo Make B.:                    Máscara Explosion Effect + Batom Cremoso Revolution Rouge","R$ 116,80R$ 108,805x R$ 21,76
            "
"180","2005018","Combo                    Make B. Cílios Poderosos: Nécessaire + Máscara Explosion Effect + Lápis Retrátil para Olhos                    Preto","R$ 161,705x R$ 32,34"
"181","2005017","Combo Make B.:                    Máscara Explosion Effect + Batom Cremoso Revolution Red","R$ 116,80R$ 108,805x R$ 21,76
            "
"182","2005016","Combo Make B.:                    Máscara Volume Extremo + Batom Cremoso Revolution Brown","R$ 94,80R$ 79,805x R$ 15,96
            "
"183","2004956","Combo Intense: Super Glitter                    Furtacor + Batom Glossy Nude","R$ 63,805x R$ 12,76"
"184","2004947","Combo Make B.: Blush Bronze + Pincel para                    Blush","R$ 124,805x R$ 24,96"
"185","2005114","Combo Intense: Nécessaire Pink + Kit com                    4 Pincéis","R$ 73,805x R$ 14,76"
"186","2004820","Combo                    Capricho Tenho Super Poderes: Des. Colônia + Loção Hidratante + Nécessaire","R$ 128,705x R$ 25,74"
"187","2004779","Combo                    Cuide-se Bem Hidratante Labial: Morango e Leite + Caramelito + Leite e Mel","R$ 86,70R$ 55,495x R$ 11,10
            "
"188","2004680","Make B. Palette Maquiagem 140 + Colors","R$ 249,005x R$ 49,80"
"189","2005370","Intense Lápis para Sobrancelhas Castanho                    Médio","Indisponível"
"190","2005079","Make B. Palette de Maquiagem SexySix, 4g","Indisponível"
"191","2004397","Make B. Caneta Delineadora para Olhos Preto            ","R$ 55,905x R$ 11,18"
"192","2004390","Cuide-se Bem Hidratante Labial Morango e                    Leite 6,2g","R$ 28,905x R$ 5,78"
"193","2004232","Make B. Pó Facial Iluminador","R$ 75,90R$ 44,905x R$ 8,98"
"194","2003421","Kit de Pincéis Intense 4 Unidades","R$ 36,905x R$ 7,38"
"195","2003405","Intense Quarteto de Sombras em Pó","R$ 49,905x R$ 9,98"
"196","2003228","Intense Lápis Corretivo Secativo","R$ 26,905x R$ 5,38"
"197","2004217","Kit                    Presente Anni","Indisponível"
"198","2003710","Make B. Batom Líquido Comfort Matte","Indisponível"
"199","2003487","Make B. Modern Asia Batom Perfeito Super                    Creamy","Indisponível"
"200","2003233","Intense Lápis para Sobrancelhas","Indisponível"
"201","2002549","Make B. Batom Perfeito Matte","R$ 46,90R$ 27,905x R$ 5,58"
"202","2001685","Make B. CC Cream Base Multifuncional 7 em                    1, 30ml","R$ 69,90R$ 41,905x R$ 8,38"
"203","2001406","Make B. Anti-Aging Batom Perfeito Rosa","Indisponível"
"204","2000651","Intense Lápis para Olhos Pop Colors","Indisponível"
"205","2000553","Make B. Nécessaire de Maquiagem Grande","Indisponível"
"206","2000486","Make B. Pincel Pó Facial","Indisponível"
