Freq	Power
385.030M	-99.440824
385.090M	-103.250718
385.150M	-100.730465
385.210M	-98.485726
385.270M	-97.972802
385.330M	-97.827211
385.390M	-97.400331
385.450M	-97.331672
385.510M	-97.925194
385.570M	-97.711465
385.631M	-96.617702
385.691M	-96.595434
385.751M	-97.190605
385.811M	-96.617176
385.871M	-95.112238
385.931M	-94.128429
385.991M	-94.411883
386.051M	-95.497703
386.111M	-96.227163
386.171M	-97.112945
386.231M	-99.064123
386.292M	-98.078731
386.352M	-95.256241
386.412M	-94.817277
386.472M	-96.381838
386.532M	-98.450363
386.592M	-99.211335
386.652M	-99.335041
386.712M	-101.173108
386.772M	-103.146110
386.832M	-100.285310
386.893M	-98.460766
386.953M	-98.259559
387.013M	-99.083037
387.073M	-99.465899
387.133M	-99.147630
387.193M	-99.024509
387.253M	-97.952734
387.313M	-96.852238
387.373M	-96.066430
387.433M	-95.591540
387.493M	-96.092528
387.554M	-97.364338
387.614M	-98.719761
387.674M	-100.097655
387.734M	-100.591944
387.794M	-98.924601
387.854M	-98.140905
387.914M	-98.736474
387.974M	-97.738739
388.034M	-95.995457
388.094M	-95.473997
388.155M	-96.021870
388.215M	-97.192691
388.275M	-98.592363
388.335M	-98.743284
388.395M	-98.162618
388.455M	-98.321196
388.515M	-99.224639
388.575M	-98.435520
388.635M	-96.682539
388.695M	-96.319235
388.756M	-96.736254
388.816M	-97.050722
388.876M	-96.956239
388.936M	-96.268992
388.996M	-94.927552
389.056M	-94.443474
389.116M	-95.774844
389.176M	-98.141155
389.236M	-99.268154
389.296M	-101.184681
389.356M	-104.641498
389.417M	-101.733780
389.477M	-97.637480
389.537M	-95.121194
389.597M	-93.605501
389.657M	-93.713584
389.717M	-95.591361
389.777M	-97.155314
389.837M	-97.692984
389.897M	-97.050836
389.957M	-95.537895
390.018M	-94.373996
390.078M	-93.385862
390.138M	-92.329498
390.198M	-92.410689
390.258M	-94.095339
390.318M	-96.547424
390.378M	-97.017098
390.438M	-96.816924
390.498M	-97.650418
390.558M	-98.268253
390.618M	-99.399280
390.679M	-100.734742
390.739M	-99.739138
390.799M	-98.514779
390.859M	-100.792876
390.919M	-103.462833
390.979M	-98.301742
391.039M	-96.166480
391.099M	-96.475813
391.159M	-97.667000
391.219M	-98.620825
391.280M	-98.210455
391.340M	-97.022745
391.400M	-96.733566
391.460M	-96.924917
391.520M	-96.683950
391.580M	-96.722883
391.640M	-96.878045
391.700M	-95.492391
391.760M	-94.775608
391.820M	-95.773173
391.881M	-96.746701
391.941M	-95.812929
392.001M	-94.365595
392.061M	-94.378956
392.121M	-96.562467
392.181M	-100.158290
392.241M	-98.333615
392.301M	-96.061973
392.361M	-95.432894
392.421M	-95.310996
392.481M	-95.565743
392.542M	-96.306307
392.602M	-95.833746
392.662M	-93.986845
392.722M	-93.127047
392.782M	-93.951605
392.842M	-95.757377
392.902M	-97.538541
392.962M	-99.387436
393.022M	-99.580450
393.082M	-98.081864
393.143M	-97.837086
393.203M	-98.417909
393.263M	-99.424604
393.323M	-102.009882
393.383M	-104.005675
393.443M	-100.541467
393.503M	-96.952427
393.563M	-94.532277
393.623M	-93.484293
393.683M	-94.277966
393.743M	-96.305215
393.804M	-97.845643
393.864M	-97.533397
393.924M	-96.804494
393.984M	-97.656411
394.044M	-97.059145
394.104M	-95.216061
394.164M	-94.355928
394.224M	-94.173820
394.284M	-95.099068
394.344M	-97.879563
394.405M	-99.871511
394.465M	-97.708348
394.525M	-96.234903
394.585M	-95.957535
394.645M	-97.009887
394.705M	-98.159295
394.765M	-97.115008
394.825M	-95.114949
394.885M	-93.778016
394.945M	-92.897273
395.006M	-92.491332
395.066M	-92.745628
395.126M	-93.972102
395.186M	-96.318774
395.246M	-98.284790
395.306M	-97.838123
395.366M	-97.465904
395.426M	-98.035058
395.486M	-99.215350
395.546M	-98.724288
395.606M	-96.289246
395.667M	-95.437789
395.727M	-95.631561
395.787M	-95.742254
395.847M	-95.699873
395.907M	-95.664437
395.967M	-95.749522
396.027M	-96.477242
