Freq	Power
385.030M	-92.576728
385.090M	-92.249308
385.150M	-92.532932
385.210M	-93.359381
385.270M	-94.936228
385.330M	-96.676015
385.390M	-96.143348
385.450M	-95.836973
385.510M	-97.110020
385.570M	-97.200645
385.631M	-95.712467
385.691M	-95.427684
385.751M	-96.610180
385.811M	-97.956310
385.871M	-97.976314
385.931M	-97.482746
385.991M	-97.358817
386.051M	-97.480775
386.111M	-97.227751
386.171M	-96.075632
386.231M	-95.554691
386.292M	-96.592173
386.352M	-98.872808
386.412M	-100.466085
386.472M	-98.609496
386.532M	-96.313566
386.592M	-95.633857
386.652M	-96.333904
386.712M	-95.789347
386.772M	-94.910621
386.832M	-95.930736
386.893M	-97.788718
386.953M	-98.173817
387.013M	-97.241158
387.073M	-95.440483
387.133M	-93.760354
387.193M	-93.690743
387.253M	-94.840811
387.313M	-95.159480
387.373M	-95.301960
387.433M	-96.088277
387.493M	-96.158395
387.554M	-96.449465
387.614M	-96.432771
387.674M	-94.848645
387.734M	-93.978635
387.794M	-94.478586
387.854M	-94.926238
387.914M	-94.892520
387.974M	-95.202486
388.034M	-94.880528
388.094M	-95.036760
388.155M	-97.029287
388.215M	-99.337804
388.275M	-98.727667
388.335M	-98.242225
388.395M	-98.823326
388.455M	-97.846658
388.515M	-95.728007
388.575M	-93.778423
388.635M	-92.884987
388.695M	-93.381586
388.756M	-94.551621
388.816M	-95.152173
388.876M	-95.124412
388.936M	-96.087292
388.996M	-98.449595
389.056M	-99.500869
389.116M	-98.228493
389.176M	-95.904250
389.236M	-93.989424
389.296M	-93.815744
389.356M	-95.546069
389.417M	-98.096342
389.477M	-99.721961
389.537M	-98.850688
389.597M	-97.590603
389.657M	-97.895562
389.717M	-98.969846
389.777M	-97.449616
389.837M	-95.252101
389.897M	-94.510054
389.957M	-94.008885
390.018M	-93.450726
390.078M	-94.528407
390.138M	-97.237851
390.198M	-96.879523
390.258M	-94.886682
390.318M	-94.976207
390.378M	-95.908018
390.438M	-96.122182
390.498M	-96.511398
390.558M	-96.559044
390.618M	-95.258779
390.679M	-94.602557
390.739M	-94.877211
390.799M	-95.354959
390.859M	-96.346499
390.919M	-98.015581
390.979M	-99.671178
391.039M	-99.323341
391.099M	-97.897809
391.159M	-96.957240
391.219M	-95.881142
391.280M	-94.801335
391.340M	-94.893794
