Freq	Power
385.030M	-97.323523
385.090M	-97.201388
385.150M	-97.798320
385.210M	-99.535651
385.270M	-98.401406
385.330M	-96.087086
385.390M	-95.468658
385.450M	-97.000160
385.510M	-98.791651
385.570M	-97.196137
385.631M	-95.946217
385.691M	-96.212625
385.751M	-96.734371
385.811M	-96.123413
385.871M	-94.484655
385.931M	-93.621689
385.991M	-94.590507
386.051M	-96.666434
386.111M	-97.677470
386.171M	-97.178354
386.231M	-96.822323
386.292M	-98.312937
386.352M	-101.092592
386.412M	-101.022695
386.472M	-98.715244
386.532M	-97.614126
386.592M	-97.749083
386.652M	-98.361906
386.712M	-98.932978
386.772M	-99.072884
386.832M	-98.590014
386.893M	-97.689396
386.953M	-97.002044
387.013M	-97.150883
387.073M	-99.034612
387.133M	-101.144362
387.193M	-100.374765
387.253M	-98.934381
387.313M	-96.901292
387.373M	-95.560617
387.433M	-95.110939
387.493M	-95.559037
387.554M	-97.652187
387.614M	-99.761325
387.674M	-98.568096
387.734M	-97.444806
387.794M	-98.127209
387.854M	-98.474743
387.914M	-96.486064
387.974M	-94.585718
388.034M	-94.132180
388.094M	-95.140259
388.155M	-97.035703
388.215M	-97.816310
388.275M	-97.125567
388.335M	-96.297294
388.395M	-95.354330
388.455M	-94.781744
388.515M	-95.226396
388.575M	-95.443043
388.635M	-95.166558
388.695M	-96.735337
388.756M	-100.419519
388.816M	-102.780388
388.876M	-101.627126
388.936M	-99.835747
388.996M	-98.963581
389.056M	-97.658564
389.116M	-95.718118
389.176M	-94.885877
389.236M	-95.863535
389.296M	-98.836230
389.356M	-100.801290
389.417M	-97.825751
389.477M	-94.924592
389.537M	-93.628968
389.597M	-94.556791
389.657M	-96.903320
389.717M	-97.394760
389.777M	-96.091913
389.837M	-95.927406
389.897M	-96.327580
389.957M	-96.522236
390.018M	-97.168750
390.078M	-98.035639
390.138M	-99.581288
390.198M	-99.887729
390.258M	-98.418081
390.318M	-98.767068
390.378M	-99.230444
390.438M	-99.185242
390.498M	-100.257176
390.558M	-101.287671
390.618M	-99.264801
390.679M	-96.924611
390.739M	-96.299099
390.799M	-97.555834
390.859M	-98.753363
390.919M	-96.702898
390.979M	-95.494755
