Freq	Power
385.030M	-97.447736
385.090M	-96.639072
385.150M	-95.387261
385.210M	-94.732850
385.270M	-95.318403
385.330M	-96.741343
385.390M	-96.524429
385.450M	-96.310728
385.510M	-97.367602
385.570M	-97.588260
385.631M	-96.743308
385.691M	-96.210041
385.751M	-95.974097
385.811M	-97.175734
385.871M	-98.425051
385.931M	-95.858726
385.991M	-95.133403
386.051M	-96.949971
386.111M	-98.548202
386.171M	-97.290738
386.231M	-95.320007
386.292M	-94.875675
386.352M	-96.387042
386.412M	-98.026058
386.472M	-97.541964
386.532M	-96.756419
386.592M	-96.462833
386.652M	-97.472992
386.712M	-99.220140
386.772M	-99.333773
386.832M	-99.278747
386.893M	-99.901391
386.953M	-99.465527
387.013M	-99.112184
387.073M	-98.851776
387.133M	-97.654274
387.193M	-97.259910
387.253M	-97.628769
387.313M	-97.383149
387.373M	-96.625499
387.433M	-96.127235
387.493M	-96.030297
387.554M	-96.256065
387.614M	-97.455558
387.674M	-99.537965
387.734M	-101.505003
387.794M	-102.790839
387.854M	-100.069105
387.914M	-96.731984
387.974M	-95.201343
388.034M	-95.682401
388.094M	-97.194938
388.155M	-97.750735
388.215M	-97.781695
388.275M	-97.311648
388.335M	-97.246390
388.395M	-98.133793
388.455M	-97.782750
388.515M	-96.491047
388.575M	-96.133646
388.635M	-97.477377
388.695M	-100.689887
388.756M	-102.545578
388.816M	-102.411949
388.876M	-102.956390
388.936M	-102.817729
388.996M	-101.635970
389.056M	-99.919663
389.116M	-98.963466
389.176M	-97.188629
389.236M	-95.634870
389.296M	-95.509084
389.356M	-96.040294
389.417M	-96.479992
389.477M	-96.577571
389.537M	-97.036577
389.597M	-98.530488
389.657M	-99.635523
389.717M	-99.661144
389.777M	-99.577889
389.837M	-97.476305
389.897M	-95.267021
389.957M	-94.620247
390.018M	-95.332659
390.078M	-97.550318
390.138M	-101.454690
390.198M	-103.130138
390.258M	-99.369870
390.318M	-97.435734
390.378M	-97.420262
390.438M	-97.079603
390.498M	-96.772332
390.558M	-97.375615
390.618M	-97.259731
390.679M	-94.914215
390.739M	-93.091067
390.799M	-92.595255
390.859M	-92.750922
390.919M	-93.518400
390.979M	-94.941883
391.039M	-96.421853
391.099M	-98.365818
391.159M	-98.112073
391.219M	-95.633214
391.280M	-94.915838
391.340M	-95.554359
391.400M	-96.557882
391.460M	-98.405964
391.520M	-97.735646
391.580M	-94.445621
391.640M	-93.473786
391.700M	-95.222049
391.760M	-98.778167
391.820M	-98.039985
391.881M	-96.639615
391.941M	-97.074468
392.001M	-97.043863
392.061M	-96.090980
392.121M	-95.320517
392.181M	-95.118067
392.241M	-95.338619
392.301M	-96.154268
392.361M	-98.119045
392.421M	-98.530155
392.481M	-96.933580
392.542M	-96.006766
392.602M	-95.767690
392.662M	-95.792063
392.722M	-96.518130
392.782M	-98.403987
392.842M	-101.201220
392.902M	-101.665923
392.962M	-99.670293
393.022M	-98.520871
393.082M	-97.543300
393.143M	-96.843663
393.203M	-96.861351
393.263M	-98.015088
393.323M	-99.449661
393.383M	-99.198868
393.443M	-98.667750
393.503M	-97.692840
393.563M	-97.326092
393.623M	-97.768596
393.683M	-97.897037
393.743M	-99.889051
393.804M	-100.295956
393.864M	-96.483460
393.924M	-96.265139
393.984M	-97.547884
394.044M	-96.667917
394.104M	-96.100353
394.164M	-96.074555
394.224M	-97.365400
394.284M	-99.189628
394.344M	-99.369630
394.405M	-97.482910
394.465M	-96.014567
394.525M	-95.906157
394.585M	-96.837209
394.645M	-97.145343
394.705M	-96.258051
394.765M	-95.499458
394.825M	-96.273874
394.885M	-98.272523
394.945M	-98.733668
395.006M	-97.216727
395.066M	-95.581574
395.126M	-95.387918
395.186M	-96.800728
395.246M	-99.875393
395.306M	-99.871094
395.366M	-96.439441
395.426M	-94.339921
395.486M	-93.896345
395.546M	-95.507931
395.606M	-98.727368
395.667M	-100.461041
395.727M	-98.908929
395.787M	-97.130317
395.847M	-96.414423
395.907M	-96.913388
395.967M	-97.920663
396.027M	-98.351537
396.087M	-98.071289
396.147M	-96.756980
396.207M	-95.347837
396.268M	-94.875005
396.328M	-94.984890
396.388M	-96.431460
396.448M	-98.469040
396.508M	-97.144311
396.568M	-94.656243
396.628M	-92.581938
396.688M	-91.590486
396.748M	-92.016974
396.808M	-93.335529
396.868M	-94.768309
396.929M	-95.760533
396.989M	-95.660277
397.049M	-94.779368
397.109M	-94.321305
397.169M	-94.321925
397.229M	-95.062694
397.289M	-95.830575
397.349M	-94.828055
397.409M	-93.530918
397.469M	-93.617608
397.530M	-94.620243
397.590M	-94.405338
397.650M	-93.283699
397.710M	-93.303760
397.770M	-94.642521
397.830M	-95.359761
397.890M	-95.060553
397.950M	-95.493346
398.010M	-96.319447
398.070M	-96.338987
398.131M	-95.716980
398.191M	-95.388073
398.251M	-95.984222
398.311M	-96.653381
398.371M	-96.730952
398.431M	-97.784650
398.491M	-99.739888
398.551M	-98.764208
398.611M	-97.935791
398.671M	-97.817312
398.731M	-96.301953
398.792M	-95.873892
398.852M	-96.774975
398.912M	-95.946755
398.972M	-93.939599
399.032M	-94.077169
399.092M	-96.239578
399.152M	-96.181568
399.212M	-94.545498
399.272M	-93.634344
399.332M	-93.338584
399.393M	-93.428888
399.453M	-93.892891
399.513M	-95.253133
399.573M	-96.996657
399.633M	-97.406095
399.693M	-97.047966
399.753M	-96.405011
399.813M	-95.707670
399.873M	-95.912081
399.933M	-96.863272
399.993M	-97.197516
400.054M	-96.807066
400.114M	-95.993221
400.174M	-95.873977
400.234M	-97.130294
400.294M	-98.180641
400.354M	-99.033868
400.414M	-98.611878
400.474M	-95.554634
400.534M	-94.091417
400.594M	-94.151688
400.655M	-95.099481
400.715M	-97.628797
400.775M	-101.000059
400.835M	-98.089454
400.895M	-95.485662
400.955M	-96.215523
401.015M	-98.644650
401.075M	-98.395174
401.135M	-98.944049
401.195M	-101.089387
401.256M	-99.542002
401.316M	-97.118576
401.376M	-95.041967
401.436M	-94.071144
401.496M	-94.002862
401.556M	-94.232373
401.616M	-95.363287
401.676M	-100.145330
401.736M	-100.126252
401.796M	-100.675834
401.856M	-101.215682
401.917M	-99.455659
401.977M	-94.925290
402.037M	-86.766864
402.097M	-79.664679
402.157M	-75.024851
402.217M	-72.198109
402.277M	-69.732563
402.337M	-67.347418
402.397M	-66.041022
402.457M	-66.134054
402.518M	-66.231536
402.578M	-65.909792
402.638M	-65.232452
402.698M	-64.128647
402.758M	-64.357157
402.818M	-65.021285
402.878M	-64.228331
402.938M	-63.412710
402.998M	-63.045019
403.058M	-62.231571
403.118M	-62.077469
403.179M	-62.718249
403.239M	-62.790250
403.299M	-63.020644
403.359M	-63.745757
403.419M	-64.317585
403.479M	-64.581329
403.539M	-65.287407
403.599M	-67.643523
403.659M	-71.714495
403.719M	-70.840700
403.780M	-67.265915
403.840M	-64.728437
403.900M	-64.249551
403.960M	-65.365238
404.020M	-65.662725
404.080M	-63.916812
