Freq	Power
385.030M	-98.309543
385.090M	-99.551920
385.150M	-99.847994
385.210M	-99.776614
385.270M	-99.370908
385.330M	-97.958985
385.390M	-98.537600
385.450M	-99.876438
385.510M	-96.308369
385.570M	-94.524896
385.631M	-94.674401
385.691M	-95.662443
385.751M	-98.145889
385.811M	-99.560468
385.871M	-96.443606
385.931M	-95.330741
385.991M	-96.491454
386.051M	-96.412513
386.111M	-95.309256
386.171M	-95.664241
386.231M	-96.065373
386.292M	-95.897102
386.352M	-97.197951
386.412M	-99.303504
386.472M	-99.627502
386.532M	-99.142250
386.592M	-98.562256
386.652M	-97.459976
386.712M	-95.150592
386.772M	-93.843664
386.832M	-94.196658
386.893M	-94.348111
386.953M	-94.020724
387.013M	-94.482564
387.073M	-95.962020
387.133M	-97.888346
387.193M	-98.178577
387.253M	-98.467855
387.313M	-98.441360
387.373M	-96.910235
387.433M	-96.217188
387.493M	-96.990099
387.554M	-99.190649
387.614M	-100.795352
387.674M	-99.927854
387.734M	-99.200804
387.794M	-98.133527
387.854M	-97.592706
387.914M	-98.268059
387.974M	-98.691931
388.034M	-98.640347
388.094M	-98.492048
388.155M	-97.693953
388.215M	-97.618141
388.275M	-98.663143
388.335M	-97.091604
388.395M	-95.720895
388.455M	-96.478135
388.515M	-97.139478
388.575M	-97.057774
388.635M	-98.028156
388.695M	-98.996074
388.756M	-97.205229
388.816M	-95.055557
388.876M	-94.568187
388.936M	-95.080535
388.996M	-95.588554
389.056M	-95.645833
389.116M	-95.470894
389.176M	-95.488341
389.236M	-94.940182
389.296M	-94.987563
389.356M	-96.425890
389.417M	-98.255277
389.477M	-99.798658
389.537M	-99.063524
389.597M	-97.550864
389.657M	-95.098412
389.717M	-93.788105
389.777M	-94.764633
389.837M	-97.008428
389.897M	-97.987367
389.957M	-97.174543
390.018M	-98.325163
390.078M	-101.606602
390.138M	-100.826978
390.198M	-98.430336
390.258M	-96.778610
390.318M	-96.362193
390.378M	-96.774944
390.438M	-95.372080
390.498M	-92.880408
390.558M	-91.520845
390.618M	-91.564022
390.679M	-93.003826
390.739M	-95.278702
390.799M	-96.965131
390.859M	-98.972933
390.919M	-97.924657
390.979M	-95.728888
391.039M	-96.361397
391.099M	-97.133623
391.159M	-95.252563
391.219M	-94.980156
391.280M	-97.897444
391.340M	-100.806850
391.400M	-98.283710
391.460M	-97.517777
391.520M	-98.742528
391.580M	-98.641347
391.640M	-97.010476
391.700M	-95.832087
391.760M	-95.482256
391.820M	-95.639012
391.881M	-96.520795
391.941M	-96.764372
392.001M	-95.961746
392.061M	-95.669590
392.121M	-96.414677
392.181M	-98.131730
392.241M	-99.795382
392.301M	-100.645733
392.361M	-101.976614
392.421M	-102.974700
392.481M	-99.740885
392.542M	-97.367928
392.602M	-96.741600
392.662M	-96.631000
392.722M	-96.355166
392.782M	-95.825215
392.842M	-95.449299
392.902M	-96.070179
392.962M	-97.865297
393.022M	-99.371758
393.082M	-97.368977
393.143M	-94.935587
393.203M	-94.657157
393.263M	-96.586880
393.323M	-98.970193
393.383M	-98.169682
393.443M	-97.840904
393.503M	-97.735431
393.563M	-96.221126
393.623M	-95.368311
393.683M	-95.713525
393.743M	-95.749888
393.804M	-94.585278
393.864M	-94.194157
393.924M	-94.936400
393.984M	-96.241535
394.044M	-97.361246
394.104M	-97.199505
394.164M	-95.860039
394.224M	-94.437557
394.284M	-93.875679
394.344M	-95.167414
394.405M	-97.766794
394.465M	-98.568884
394.525M	-97.202571
394.585M	-96.166206
394.645M	-96.343839
394.705M	-96.663371
394.765M	-95.929386
394.825M	-95.531341
394.885M	-94.954183
394.945M	-94.838322
395.006M	-96.109702
395.066M	-97.171543
395.126M	-97.522638
395.186M	-98.533332
395.246M	-98.506132
395.306M	-97.404666
395.366M	-97.612955
395.426M	-98.980532
395.486M	-100.780595
395.546M	-99.148260
395.606M	-97.380283
395.667M	-97.978362
395.727M	-98.569164
395.787M	-95.751130
395.847M	-93.942687
395.907M	-93.789844
395.967M	-94.285492
396.027M	-95.028222
396.087M	-96.481807
396.147M	-98.924660
396.207M	-102.344836
396.268M	-104.126069
396.328M	-101.014620
396.388M	-96.856174
396.448M	-94.779459
396.508M	-93.472003
396.568M	-92.882661
396.628M	-93.491631
396.688M	-94.393239
396.748M	-94.091172
396.808M	-93.253953
396.868M	-93.377005
396.929M	-94.514175
396.989M	-95.638741
397.049M	-95.824194
397.109M	-97.196939
397.169M	-100.796673
397.229M	-100.746552
397.289M	-98.514106
397.349M	-97.282962
397.409M	-95.839661
397.469M	-94.490013
397.530M	-94.842680
397.590M	-96.598860
397.650M	-96.915834
397.710M	-96.534170
397.770M	-97.254459
397.830M	-97.189717
397.890M	-96.096157
397.950M	-96.055221
398.010M	-96.902689
398.070M	-98.246047
398.131M	-99.117512
398.191M	-97.731173
398.251M	-95.236951
398.311M	-93.386299
398.371M	-92.542393
398.431M	-92.910155
398.491M	-94.419367
398.551M	-96.386812
398.611M	-97.454181
398.671M	-97.883003
398.731M	-98.374347
398.792M	-97.084673
398.852M	-95.113027
398.912M	-94.676052
398.972M	-95.298159
399.032M	-96.320149
399.092M	-96.959591
399.152M	-95.965699
399.212M	-94.607932
399.272M	-93.590341
399.332M	-93.401171
399.393M	-94.419819
399.453M	-95.436368
399.513M	-95.395351
399.573M	-95.616509
399.633M	-97.012318
399.693M	-97.578592
399.753M	-96.014884
399.813M	-95.114516
399.873M	-95.666208
399.933M	-96.406648
399.993M	-95.935521
400.054M	-95.258826
400.114M	-96.184472
400.174M	-98.270172
400.234M	-97.156486
400.294M	-94.513515
400.354M	-93.277362
400.414M	-93.253097
400.474M	-93.721056
400.534M	-94.022825
400.594M	-94.543596
400.655M	-95.086920
400.715M	-95.100690
400.775M	-96.211492
400.835M	-97.774633
400.895M	-98.357039
400.955M	-99.000627
401.015M	-98.615116
401.075M	-96.509215
401.135M	-94.414071
401.195M	-94.289716
401.256M	-96.710610
401.316M	-98.884838
401.376M	-96.135606
401.436M	-94.175925
401.496M	-94.346256
401.556M	-96.874211
401.616M	-99.450791
401.676M	-98.039524
401.736M	-96.561422
401.796M	-96.445921
401.856M	-96.486102
401.917M	-96.116335
401.977M	-93.584355
402.037M	-87.649825
402.097M	-80.765485
402.157M	-74.865146
402.217M	-70.681841
402.277M	-68.496156
402.337M	-67.603796
402.397M	-66.643996
402.457M	-66.769602
402.518M	-67.571396
402.578M	-65.921170
402.638M	-63.937113
402.698M	-62.771266
402.758M	-62.218597
402.818M	-61.929546
402.878M	-61.842670
402.938M	-62.541974
402.998M	-63.651053
403.058M	-64.918737
403.118M	-67.053316
403.179M	-67.673498
403.239M	-66.611069
403.299M	-66.096796
403.359M	-67.429329
403.419M	-68.078291
403.479M	-66.763177
403.539M	-66.709778
403.599M	-66.556477
403.659M	-65.593289
403.719M	-65.505202
403.780M	-66.222491
403.840M	-66.799340
403.900M	-65.822447
403.960M	-64.626329
404.020M	-65.614312
404.080M	-68.432583
404.140M	-67.589385
404.200M	-64.466444
404.260M	-63.371595
404.320M	-64.037991
404.381M	-64.528791
