Freq	Power
385.030M	-100.544813
385.090M	-99.606488
385.150M	-97.695876
385.210M	-96.294570
385.270M	-96.747252
385.330M	-98.108088
385.390M	-98.619241
385.450M	-98.512366
385.510M	-97.588404
385.570M	-95.497918
385.631M	-94.068971
385.691M	-94.473977
385.751M	-97.074682
385.811M	-100.699259
385.871M	-100.606165
385.931M	-100.049906
385.991M	-101.080558
386.051M	-101.206528
386.111M	-99.187983
386.171M	-97.468356
386.231M	-95.834084
386.292M	-95.229711
386.352M	-96.198885
386.412M	-97.256974
386.472M	-97.755534
386.532M	-97.741908
386.592M	-98.609374
386.652M	-100.457624
386.712M	-101.291338
386.772M	-100.479711
386.832M	-97.704199
386.893M	-95.170462
386.953M	-94.021713
387.013M	-94.670672
387.073M	-97.069231
387.133M	-100.630730
387.193M	-102.898427
387.253M	-100.270318
387.313M	-96.429197
387.373M	-94.068546
387.433M	-93.286344
387.493M	-93.382255
387.554M	-94.097951
387.614M	-96.349312
387.674M	-99.810299
387.734M	-99.077104
387.794M	-98.529448
387.854M	-98.127445
387.914M	-97.419904
387.974M	-96.736670
388.034M	-95.752070
388.094M	-96.822145
388.155M	-99.740724
388.215M	-97.965686
388.275M	-95.608194
388.335M	-95.829970
388.395M	-99.214177
388.455M	-101.895294
388.515M	-99.260066
388.575M	-97.172351
388.635M	-95.848940
388.695M	-95.887322
388.756M	-97.424058
388.816M	-98.405614
388.876M	-96.066124
388.936M	-94.190816
388.996M	-94.099697
389.056M	-95.297704
389.116M	-95.943624
389.176M	-95.356055
389.236M	-95.752435
389.296M	-95.716116
389.356M	-93.615200
389.417M	-92.767790
389.477M	-93.737809
389.537M	-95.618849
389.597M	-96.453991
389.657M	-95.193275
389.717M	-94.432618
389.777M	-96.618193
389.837M	-103.110346
389.897M	-100.540242
389.957M	-97.626971
390.018M	-97.716199
390.078M	-97.817170
390.138M	-96.433295
390.198M	-94.814914
390.258M	-94.542710
390.318M	-95.091113
390.378M	-94.249949
390.438M	-93.393217
390.498M	-93.227308
390.558M	-93.180706
390.618M	-93.890975
390.679M	-95.313539
390.739M	-95.752002
390.799M	-95.670152
390.859M	-95.445625
390.919M	-95.119265
390.979M	-95.304691
391.039M	-96.125127
391.099M	-97.507054
391.159M	-98.785657
391.219M	-100.013990
391.280M	-99.621991
391.340M	-98.173659
391.400M	-97.988369
391.460M	-97.892997
391.520M	-96.897609
391.580M	-96.209719
391.640M	-96.331037
391.700M	-97.015391
391.760M	-96.895454
391.820M	-95.585596
391.881M	-94.726519
391.941M	-94.630746
392.001M	-94.566206
392.061M	-94.138383
392.121M	-94.655118
392.181M	-95.653080
392.241M	-95.468659
392.301M	-95.385127
392.361M	-95.052089
392.421M	-94.882404
392.481M	-96.088975
392.542M	-97.596810
392.602M	-98.057495
392.662M	-98.357962
392.722M	-100.483516
392.782M	-103.843956
392.842M	-99.102184
392.902M	-96.108220
392.962M	-95.440077
393.022M	-95.712668
393.082M	-96.104293
393.143M	-96.589038
393.203M	-97.288286
393.263M	-95.033870
393.323M	-93.126114
393.383M	-93.614926
393.443M	-96.101695
393.503M	-99.454680
393.563M	-97.597580
393.623M	-94.724549
393.683M	-94.116048
393.743M	-95.165662
393.804M	-97.684509
393.864M	-100.558223
393.924M	-99.743572
393.984M	-97.610995
394.044M	-95.801178
394.104M	-95.343501
394.164M	-96.559513
394.224M	-97.477945
394.284M	-97.754049
394.344M	-97.075725
394.405M	-96.937457
394.465M	-98.437985
394.525M	-96.746267
394.585M	-94.343262
394.645M	-93.316974
394.705M	-93.162935
394.765M	-93.940844
394.825M	-95.186944
394.885M	-96.758841
394.945M	-98.465045
395.006M	-98.417468
395.066M	-99.740534
