Freq	Power
385.030M	-99.387989
385.090M	-100.876795
385.150M	-98.948365
385.210M	-97.203041
385.270M	-96.221904
385.330M	-95.850157
385.390M	-96.667540
385.450M	-98.005636
385.510M	-96.991090
385.570M	-94.828034
385.631M	-93.583301
385.691M	-93.687058
385.751M	-94.734212
385.811M	-95.322161
385.871M	-95.955747
385.931M	-97.196084
385.991M	-97.035946
386.051M	-96.933538
386.111M	-98.390851
386.171M	-100.833852
386.231M	-101.626577
386.292M	-100.219771
386.352M	-98.946634
386.412M	-98.056284
386.472M	-98.121825
386.532M	-97.891251
386.592M	-96.724817
386.652M	-96.227450
386.712M	-96.209996
386.772M	-95.936298
386.832M	-95.470030
386.893M	-95.724708
386.953M	-96.497330
387.013M	-96.470104
387.073M	-95.788235
387.133M	-96.027310
387.193M	-97.247225
387.253M	-99.283857
387.313M	-98.779657
387.373M	-97.096138
387.433M	-98.039516
387.493M	-99.701005
387.554M	-98.263131
387.614M	-95.886063
387.674M	-94.106249
387.734M	-94.200774
387.794M	-96.027944
387.854M	-96.828760
387.914M	-97.217145
387.974M	-100.074523
388.034M	-103.629218
388.094M	-101.551012
388.155M	-100.035132
388.215M	-98.466978
388.275M	-96.664310
388.335M	-96.184154
388.395M	-97.215693
388.455M	-97.269273
388.515M	-96.253107
388.575M	-95.837804
388.635M	-95.429525
388.695M	-95.087919
388.756M	-95.346061
388.816M	-95.601760
388.876M	-95.446354
388.936M	-95.636866
388.996M	-96.428928
389.056M	-98.354552
389.116M	-99.954413
389.176M	-97.426310
389.236M	-95.617681
389.296M	-95.653299
389.356M	-95.948179
389.417M	-96.158717
389.477M	-96.891517
389.537M	-97.801821
389.597M	-98.304659
389.657M	-99.094753
389.717M	-99.435670
389.777M	-97.475341
389.837M	-96.202309
389.897M	-97.009294
389.957M	-99.733768
390.018M	-100.694210
390.078M	-99.441999
390.138M	-98.455853
390.198M	-96.655816
390.258M	-95.755492
390.318M	-96.714812
390.378M	-97.394451
390.438M	-97.989337
390.498M	-100.447491
390.558M	-99.487872
390.618M	-95.963500
390.679M	-94.760891
390.739M	-95.177659
390.799M	-95.460563
390.859M	-95.330407
390.919M	-95.486937
390.979M	-96.015900
391.039M	-96.461110
391.099M	-96.416256
391.159M	-95.635641
391.219M	-94.721429
391.280M	-94.570954
391.340M	-95.180184
391.400M	-95.944426
391.460M	-97.046808
391.520M	-99.192458
391.580M	-101.549518
391.640M	-101.907726
391.700M	-100.240274
391.760M	-98.043700
391.820M	-96.914930
391.881M	-96.188203
391.941M	-95.399220
392.001M	-94.847535
392.061M	-95.019293
392.121M	-95.997141
392.181M	-97.521180
392.241M	-99.459018
392.301M	-100.928094
392.361M	-100.973007
392.421M	-99.425080
392.481M	-97.226748
392.542M	-96.472486
392.602M	-97.731028
392.662M	-98.740918
392.722M	-97.709236
392.782M	-98.131837
392.842M	-101.549679
392.902M	-106.206573
392.962M	-103.709949
393.022M	-101.403798
393.082M	-98.600435
393.143M	-96.989016
393.203M	-96.421672
393.263M	-96.518916
393.323M	-97.189282
393.383M	-97.238472
393.443M	-96.771614
393.503M	-97.850777
393.563M	-99.066253
393.623M	-96.746975
393.683M	-95.908893
393.743M	-97.127078
393.804M	-97.982377
393.864M	-98.134258
393.924M	-98.864944
393.984M	-97.912628
394.044M	-96.419744
394.104M	-96.060984
394.164M	-95.860106
394.224M	-95.863518
394.284M	-97.027736
394.344M	-98.896781
394.405M	-98.659736
394.465M	-97.836653
394.525M	-97.695474
394.585M	-97.686630
394.645M	-96.950171
394.705M	-95.655457
394.765M	-95.269364
394.825M	-95.713941
394.885M	-96.014925
394.945M	-95.503640
395.006M	-94.462262
395.066M	-93.593961
395.126M	-93.892897
395.186M	-95.286149
395.246M	-96.733588
395.306M	-97.778675
395.366M	-97.375513
395.426M	-95.597194
395.486M	-94.084053
395.546M	-93.530069
395.606M	-94.269886
395.667M	-95.795125
395.727M	-98.539007
395.787M	-100.772649
395.847M	-97.554343
395.907M	-96.168003
395.967M	-96.398352
396.027M	-96.657596
396.087M	-96.008865
396.147M	-95.269140
396.207M	-95.899514
396.268M	-97.087470
396.328M	-96.732664
396.388M	-95.794242
396.448M	-95.756498
396.508M	-96.666478
396.568M	-96.827467
396.628M	-95.754963
396.688M	-95.718189
396.748M	-96.989661
396.808M	-97.046888
396.868M	-95.071550
396.929M	-94.071249
396.989M	-94.866787
397.049M	-97.349136
397.109M	-101.110314
397.169M	-101.359133
397.229M	-97.749391
397.289M	-95.711200
397.349M	-94.523015
397.409M	-93.591151
397.469M	-94.435177
397.530M	-97.916536
397.590M	-98.111227
397.650M	-95.652909
397.710M	-95.537573
397.770M	-96.348392
397.830M	-95.884948
397.890M	-95.516301
397.950M	-96.459336
398.010M	-96.980351
398.070M	-95.939103
398.131M	-95.021129
398.191M	-94.552378
398.251M	-94.649060
398.311M	-94.962110
398.371M	-94.716770
398.431M	-94.710052
398.491M	-95.331873
398.551M	-94.588313
398.611M	-93.176047
398.671M	-92.589700
398.731M	-92.762096
398.792M	-94.209664
398.852M	-96.033850
398.912M	-96.880638
398.972M	-99.391638
399.032M	-99.214472
399.092M	-97.807085
399.152M	-99.708740
399.212M	-98.306920
399.272M	-93.802033
399.332M	-91.538381
399.393M	-90.735253
399.453M	-90.571544
399.513M	-91.291827
399.573M	-93.389157
399.633M	-96.082058
399.693M	-97.239117
399.753M	-99.010892
399.813M	-103.091934
399.873M	-100.261325
399.933M	-97.031028
399.993M	-95.743457
400.054M	-95.502762
400.114M	-95.120434
400.174M	-94.125840
400.234M	-94.216773
400.294M	-95.405471
400.354M	-96.434930
400.414M	-96.963044
400.474M	-97.371270
400.534M	-97.956308
400.594M	-98.794112
400.655M	-98.654999
400.715M	-97.391086
400.775M	-97.361296
400.835M	-98.288595
400.895M	-98.423704
400.955M	-96.185929
401.015M	-94.972326
401.075M	-95.514645
401.135M	-96.918556
401.195M	-98.544897
401.256M	-101.111849
401.316M	-103.726528
401.376M	-98.591069
401.436M	-95.143385
401.496M	-94.176196
401.556M	-95.711630
401.616M	-99.119273
401.676M	-97.055696
401.736M	-97.569015
401.796M	-97.574842
401.856M	-97.040215
401.917M	-96.954035
401.977M	-92.759818
402.037M	-85.129281
402.097M	-79.797613
402.157M	-76.176758
402.217M	-72.120074
402.277M	-68.103030
402.337M	-66.186527
402.397M	-65.981921
402.457M	-65.662866
402.518M	-65.183641
402.578M	-64.767658
402.638M	-64.468757
402.698M	-64.718061
402.758M	-64.737563
402.818M	-63.864889
402.878M	-62.884610
402.938M	-62.961591
402.998M	-63.867260
403.058M	-63.495456
403.118M	-61.958221
403.179M	-61.424891
403.239M	-62.263535
403.299M	-63.361421
403.359M	-64.499971
403.419M	-65.261437
403.479M	-65.072457
403.539M	-65.711334
403.599M	-66.442548
403.659M	-65.334513
403.719M	-65.011180
403.780M	-65.662567
403.840M	-65.962954
403.900M	-65.619602
403.960M	-65.757653
404.020M	-66.766193
404.080M	-69.519794
404.140M	-69.514485
404.200M	-67.382010
404.260M	-67.540371
404.320M	-66.088315
404.381M	-63.822459
404.441M	-63.529760
404.501M	-64.885762
404.561M	-65.875074
404.621M	-65.336185
404.681M	-64.941120
404.741M	-65.057573
404.801M	-65.285029
404.861M	-65.529786
404.921M	-65.473583
404.981M	-65.535729
405.042M	-65.047118
405.102M	-63.594312
405.162M	-62.406724
405.222M	-62.457307
405.282M	-64.164872
405.342M	-66.258624
405.402M	-65.074920
405.462M	-63.250039
405.522M	-62.870752
405.582M	-63.307184
405.643M	-64.165634
405.703M	-65.181735
405.763M	-64.411854
405.823M	-63.927927
405.883M	-64.891428
405.943M	-65.293498
406.003M	-65.191623
406.063M	-65.626840
406.123M	-67.167735
406.183M	-68.784512
406.243M	-66.454283
406.304M	-64.631179
406.364M	-63.621205
406.424M	-62.872937
406.484M	-63.014011
406.544M	-64.712035
406.604M	-68.075429
406.664M	-66.917206
406.724M	-63.485600
406.784M	-62.355375
406.844M	-62.832888
406.905M	-64.661600
406.965M	-66.889200
407.025M	-66.069395
407.085M	-63.672178
407.145M	-62.865321
407.205M	-64.023171
407.265M	-65.759439
407.325M	-64.163952
407.385M	-61.352602
407.445M	-60.262572
407.506M	-61.024753
407.566M	-63.314478
407.626M	-65.881530
407.686M	-66.957774
407.746M	-68.895835
407.806M	-73.213241
407.866M	-78.983681
407.926M	-84.950320
407.986M	-89.460762
408.046M	-86.720883
408.106M	-82.138546
408.167M	-77.460092
408.227M	-72.883275
408.287M	-69.273258
408.347M	-67.632636
408.407M	-67.495258
