Freq	Power
385.030M	-98.447903
385.090M	-98.117432
385.150M	-97.374726
385.210M	-95.690767
385.270M	-94.603808
385.330M	-94.866457
385.390M	-96.190536
385.450M	-97.088180
385.510M	-96.647960
385.570M	-96.047753
385.631M	-95.673864
385.691M	-95.506507
385.751M	-95.506879
385.811M	-95.463429
385.871M	-96.032910
385.931M	-98.402296
385.991M	-100.004534
386.051M	-97.671318
386.111M	-96.043034
386.171M	-95.297663
386.231M	-95.302170
386.292M	-96.199424
386.352M	-96.583372
386.412M	-95.597864
386.472M	-95.001062
386.532M	-95.701835
386.592M	-97.188448
386.652M	-97.712270
386.712M	-96.049043
386.772M	-94.244476
386.832M	-94.139927
386.893M	-95.081303
386.953M	-94.815049
387.013M	-93.651453
387.073M	-93.590076
387.133M	-94.386614
387.193M	-94.732496
387.253M	-94.320703
387.313M	-93.644175
387.373M	-94.128977
387.433M	-95.835387
387.493M	-97.088744
387.554M	-98.299516
387.614M	-98.847853
387.674M	-97.946836
387.734M	-97.679935
387.794M	-97.918255
387.854M	-97.620740
387.914M	-98.115432
387.974M	-98.537478
388.034M	-96.765922
388.094M	-95.653752
388.155M	-96.140354
388.215M	-97.886000
388.275M	-98.710210
388.335M	-96.410651
388.395M	-94.274081
388.455M	-93.553683
388.515M	-93.922559
388.575M	-94.646904
388.635M	-95.538840
388.695M	-96.635557
388.756M	-98.311412
388.816M	-99.205012
388.876M	-99.571915
388.936M	-101.275084
388.996M	-103.050683
389.056M	-101.665004
389.116M	-99.975345
389.176M	-99.768335
389.236M	-97.968420
389.296M	-96.217777
389.356M	-96.191929
389.417M	-96.549115
389.477M	-96.456058
389.537M	-97.301875
389.597M	-99.420293
389.657M	-100.090050
389.717M	-99.287949
389.777M	-97.651237
389.837M	-95.728989
389.897M	-94.564684
389.957M	-94.253502
390.018M	-94.987442
390.078M	-96.771256
390.138M	-98.892330
390.198M	-99.493835
390.258M	-97.825527
390.318M	-96.729475
390.378M	-96.083611
390.438M	-95.634817
390.498M	-95.890322
390.558M	-96.135562
390.618M	-96.250885
390.679M	-95.748431
390.739M	-95.164131
390.799M	-95.730567
390.859M	-96.197489
390.919M	-95.700783
