Freq	Power
385.030M	-96.472916
385.090M	-96.497612
385.150M	-97.050354
385.210M	-97.713298
385.270M	-98.070380
385.330M	-97.203892
385.390M	-96.055452
385.450M	-95.411047
385.510M	-95.945988
385.570M	-97.046692
385.631M	-96.250373
385.691M	-95.065030
385.751M	-95.747778
385.811M	-97.279819
385.871M	-96.765642
385.931M	-95.600111
385.991M	-95.588569
386.051M	-96.570335
386.111M	-96.561834
386.171M	-95.968614
386.231M	-96.561092
386.292M	-97.451489
386.352M	-96.957256
386.412M	-97.075835
386.472M	-98.374501
386.532M	-98.801674
386.592M	-98.362120
386.652M	-96.902728
386.712M	-96.235936
386.772M	-97.592805
386.832M	-99.106826
386.893M	-98.313559
386.953M	-97.815922
387.013M	-99.138119
387.073M	-100.817479
387.133M	-100.292392
387.193M	-96.400210
387.253M	-94.815911
387.313M	-96.865560
387.373M	-99.158684
387.433M	-98.386215
387.493M	-99.182605
387.554M	-99.440579
387.614M	-97.285637
387.674M	-95.720011
387.734M	-94.905735
387.794M	-95.348435
387.854M	-97.754785
387.914M	-99.635566
387.974M	-98.313059
388.034M	-97.184632
388.094M	-96.755335
388.155M	-96.931351
388.215M	-98.747859
388.275M	-100.775004
388.335M	-99.153291
388.395M	-97.707555
388.455M	-97.372801
388.515M	-96.314037
388.575M	-94.793671
388.635M	-94.173109
388.695M	-94.664499
388.756M	-96.100571
388.816M	-98.541987
388.876M	-100.974273
388.936M	-98.050614
388.996M	-96.282288
389.056M	-96.575041
389.116M	-97.048779
389.176M	-97.931386
389.236M	-97.505998
389.296M	-95.195774
389.356M	-94.333110
389.417M	-94.966223
389.477M	-95.559040
389.537M	-95.771880
389.597M	-96.349902
389.657M	-96.697749
389.717M	-96.499375
389.777M	-96.674130
389.837M	-97.256677
389.897M	-97.052396
389.957M	-94.605657
390.018M	-92.094046
390.078M	-91.515012
390.138M	-92.359067
390.198M	-93.393079
390.258M	-94.698094
390.318M	-97.063041
390.378M	-99.532349
390.438M	-98.968172
390.498M	-97.904091
390.558M	-97.481320
390.618M	-97.540103
390.679M	-98.682401
390.739M	-99.154068
390.799M	-98.530001
390.859M	-97.870338
390.919M	-97.156391
390.979M	-97.605275
391.039M	-99.700035
391.099M	-100.121554
391.159M	-97.884920
391.219M	-96.612665
391.280M	-96.587869
391.340M	-97.223090
391.400M	-98.164242
391.460M	-99.130462
391.520M	-100.224416
391.580M	-99.256561
391.640M	-97.599936
391.700M	-97.604669
391.760M	-97.565706
391.820M	-96.840559
391.881M	-97.088710
391.941M	-97.908998
392.001M	-98.202112
392.061M	-98.809358
392.121M	-100.851883
392.181M	-104.301742
392.241M	-105.486894
392.301M	-102.686314
392.361M	-99.655061
392.421M	-96.809864
392.481M	-94.995659
392.542M	-94.415216
392.602M	-94.314905
392.662M	-94.591468
392.722M	-95.435925
392.782M	-96.345221
392.842M	-96.380287
392.902M	-96.208041
392.962M	-96.456654
393.022M	-96.671408
393.082M	-95.406522
393.143M	-93.849329
393.203M	-93.444766
393.263M	-94.114604
393.323M	-94.590056
393.383M	-94.337608
393.443M	-93.896088
393.503M	-93.918402
393.563M	-95.011630
393.623M	-96.176949
393.683M	-96.628539
393.743M	-97.006909
393.804M	-97.199036
393.864M	-96.704304
393.924M	-96.355441
393.984M	-96.654662
394.044M	-97.309603
394.104M	-98.239520
394.164M	-97.618805
394.224M	-95.442075
394.284M	-94.639790
394.344M	-95.461568
394.405M	-96.855757
394.465M	-96.987381
394.525M	-95.660091
394.585M	-94.568335
394.645M	-95.641544
394.705M	-99.615382
394.765M	-102.295731
394.825M	-97.524332
394.885M	-94.806773
394.945M	-94.004917
395.006M	-93.537773
395.066M	-92.641305
395.126M	-92.567124
395.186M	-94.055163
395.246M	-95.253293
395.306M	-95.016277
395.366M	-95.033719
395.426M	-95.356143
395.486M	-95.384742
395.546M	-96.697471
395.606M	-99.646196
395.667M	-99.601020
395.727M	-97.111275
395.787M	-95.156795
395.847M	-93.560917
395.907M	-92.655079
395.967M	-92.810251
396.027M	-93.120909
396.087M	-93.856223
396.147M	-96.339298
396.207M	-99.964802
396.268M	-101.060042
396.328M	-99.730264
396.388M	-99.427865
396.448M	-99.849716
396.508M	-99.094839
396.568M	-97.227496
396.628M	-96.456811
396.688M	-96.736116
396.748M	-96.335869
396.808M	-95.862635
396.868M	-95.812082
396.929M	-95.968029
396.989M	-97.000872
397.049M	-97.946815
397.109M	-97.575350
397.169M	-96.192010
397.229M	-94.591024
397.289M	-94.668577
397.349M	-96.422450
397.409M	-98.343988
397.469M	-100.020265
397.530M	-101.225162
397.590M	-99.677518
397.650M	-97.589630
397.710M	-97.303622
397.770M	-99.114199
397.830M	-100.759587
397.890M	-99.645362
397.950M	-97.770816
398.010M	-96.095634
398.070M	-95.361029
398.131M	-95.081165
398.191M	-95.216030
398.251M	-95.899721
398.311M	-97.509700
398.371M	-99.457103
398.431M	-97.918426
398.491M	-95.537304
398.551M	-95.155522
398.611M	-94.904235
398.671M	-92.959363
398.731M	-92.030504
398.792M	-92.657151
398.852M	-93.555787
398.912M	-94.488610
398.972M	-96.029506
399.032M	-96.891517
399.092M	-97.897555
399.152M	-100.498154
399.212M	-99.330522
399.272M	-96.124376
399.332M	-95.346322
399.393M	-96.818425
399.453M	-99.942449
399.513M	-100.237224
399.573M	-97.589119
399.633M	-96.715806
399.693M	-97.593321
399.753M	-97.604031
399.813M	-96.418192
399.873M	-95.292394
399.933M	-94.081135
399.993M	-93.817087
400.054M	-94.597970
400.114M	-96.703372
400.174M	-100.247303
400.234M	-101.214501
400.294M	-99.625663
400.354M	-98.659950
