Freq	Power
385.030M	-98.662070
385.090M	-98.656452
385.150M	-96.498484
385.210M	-94.238703
385.270M	-93.344465
385.330M	-94.192222
385.390M	-95.584441
385.450M	-95.379176
385.510M	-95.298475
385.570M	-96.722762
385.631M	-97.105306
385.691M	-95.656438
385.751M	-95.967389
385.811M	-97.928296
385.871M	-97.612396
385.931M	-95.723595
385.991M	-95.283680
386.051M	-96.722037
386.111M	-96.946777
386.171M	-94.985904
386.231M	-94.030415
386.292M	-94.250971
386.352M	-95.193130
386.412M	-96.485260
386.472M	-95.547757
386.532M	-93.908578
386.592M	-94.336425
386.652M	-96.281916
386.712M	-96.913127
386.772M	-95.644210
386.832M	-94.779480
386.893M	-95.186406
386.953M	-96.749117
387.013M	-98.590167
387.073M	-98.383909
387.133M	-97.279462
387.193M	-97.494772
387.253M	-98.430543
387.313M	-97.394311
387.373M	-95.956741
387.433M	-96.069265
387.493M	-98.293963
387.554M	-101.537181
387.614M	-100.272659
387.674M	-98.782244
387.734M	-98.046803
387.794M	-96.118102
387.854M	-94.981973
387.914M	-95.221721
387.974M	-95.967204
388.034M	-97.697165
388.094M	-100.508604
388.155M	-100.724293
388.215M	-98.845404
388.275M	-97.837014
388.335M	-98.235413
388.395M	-99.392519
388.455M	-100.106617
388.515M	-100.355321
388.575M	-101.265745
388.635M	-100.411603
388.695M	-98.289170
388.756M	-97.408237
388.816M	-97.532334
388.876M	-98.753804
388.936M	-100.285148
388.996M	-101.777541
389.056M	-100.761335
389.116M	-99.610649
389.176M	-100.045887
389.236M	-101.129025
389.296M	-103.336312
389.356M	-103.029937
389.417M	-101.200046
389.477M	-99.157592
389.537M	-96.811387
389.597M	-94.732416
389.657M	-93.856082
389.717M	-94.620659
389.777M	-96.102296
389.837M	-97.033912
389.897M	-97.004234
389.957M	-96.270339
390.018M	-96.061155
390.078M	-96.101595
390.138M	-96.516456
390.198M	-97.585378
390.258M	-97.935887
390.318M	-98.823890
390.378M	-100.928730
390.438M	-100.284619
390.498M	-97.313875
390.558M	-95.596265
390.618M	-95.283872
390.679M	-95.384765
390.739M	-95.731923
390.799M	-96.089114
390.859M	-95.946725
390.919M	-96.298333
390.979M	-97.016587
391.039M	-97.383119
391.099M	-98.107383
391.159M	-98.562100
391.219M	-97.671024
391.280M	-97.114070
391.340M	-96.121993
391.400M	-94.381708
391.460M	-93.446825
391.520M	-94.193223
391.580M	-96.845397
391.640M	-100.294858
391.700M	-101.225970
391.760M	-100.184066
391.820M	-100.102671
391.881M	-99.169933
