Freq	Power
385.030M	-96.190674
385.090M	-96.421198
385.150M	-96.837242
385.210M	-96.946312
385.270M	-96.741158
385.330M	-95.883347
385.390M	-95.211142
385.450M	-95.697349
385.510M	-96.353604
385.570M	-96.420730
385.631M	-96.648921
385.691M	-96.097513
385.751M	-94.908299
385.811M	-94.080512
385.871M	-93.853335
385.931M	-94.776210
385.991M	-96.801882
386.051M	-99.242423
386.111M	-100.078599
386.171M	-99.336374
386.231M	-99.099701
386.292M	-99.468891
386.352M	-97.853442
386.412M	-94.809238
386.472M	-93.294403
386.532M	-92.710666
386.592M	-92.656167
386.652M	-94.109695
386.712M	-97.059821
386.772M	-98.835032
386.832M	-99.975846
386.893M	-102.738011
386.953M	-102.271158
387.013M	-99.676467
387.073M	-98.254376
387.133M	-97.292262
387.193M	-97.058154
387.253M	-97.297910
387.313M	-96.514330
387.373M	-95.184817
387.433M	-95.065956
387.493M	-96.703453
387.554M	-100.363886
387.614M	-102.112674
387.674M	-99.476430
387.734M	-99.175338
387.794M	-99.784483
387.854M	-97.785656
387.914M	-95.534460
387.974M	-94.159755
388.034M	-93.614671
388.094M	-94.043528
388.155M	-94.630117
388.215M	-95.021498
388.275M	-95.927999
388.335M	-97.504412
388.395M	-98.981320
388.455M	-98.872564
388.515M	-96.927115
388.575M	-95.223952
388.635M	-95.255448
388.695M	-96.145896
388.756M	-96.223019
388.816M	-96.265043
388.876M	-97.272710
388.936M	-97.758029
388.996M	-95.703319
389.056M	-94.848306
389.116M	-95.790331
389.176M	-97.299342
389.236M	-97.665109
389.296M	-98.892305
389.356M	-98.532657
389.417M	-95.596934
389.477M	-95.391729
389.537M	-97.751847
389.597M	-99.990021
389.657M	-100.288118
389.717M	-101.576770
389.777M	-99.529808
389.837M	-96.954085
389.897M	-95.447366
389.957M	-93.979986
390.018M	-92.933108
390.078M	-92.796007
390.138M	-93.860333
390.198M	-95.224368
390.258M	-95.570918
390.318M	-95.212778
390.378M	-94.725647
390.438M	-95.159858
390.498M	-96.706108
390.558M	-96.921534
390.618M	-97.028178
390.679M	-98.530254
390.739M	-99.531967
390.799M	-99.061840
390.859M	-98.470245
390.919M	-98.711896
390.979M	-98.544318
391.039M	-97.236605
391.099M	-95.821934
391.159M	-94.083638
391.219M	-92.490906
391.280M	-92.011485
391.340M	-93.354527
391.400M	-95.650704
391.460M	-96.999863
391.520M	-98.576359
391.580M	-98.364219
391.640M	-96.177867
391.700M	-95.339560
391.760M	-95.760258
391.820M	-97.555456
391.881M	-100.528185
391.941M	-100.983652
392.001M	-98.277041
392.061M	-95.775318
392.121M	-94.678641
392.181M	-95.487966
392.241M	-97.699937
392.301M	-99.722468
392.361M	-99.673165
392.421M	-97.819998
392.481M	-97.332611
392.542M	-99.192642
392.602M	-98.173981
392.662M	-95.618008
392.722M	-94.698654
392.782M	-95.041738
392.842M	-96.224308
392.902M	-96.398387
392.962M	-94.865166
393.022M	-94.080226
393.082M	-94.581049
393.143M	-96.867599
393.203M	-100.773675
393.263M	-98.299074
393.323M	-95.192018
393.383M	-94.456410
393.443M	-95.379945
393.503M	-96.810732
393.563M	-96.887929
393.623M	-97.188574
393.683M	-98.377688
393.743M	-98.207850
393.804M	-97.099423
393.864M	-97.461694
393.924M	-99.901909
393.984M	-101.744326
394.044M	-97.963024
394.104M	-95.563652
394.164M	-95.789145
394.224M	-97.010070
394.284M	-97.587381
394.344M	-96.831885
394.405M	-95.183770
394.465M	-94.737965
394.525M	-95.466304
394.585M	-97.879310
394.645M	-100.839482
394.705M	-98.936530
394.765M	-96.674668
394.825M	-95.771026
394.885M	-95.011769
394.945M	-94.366355
395.006M	-95.295259
395.066M	-97.376860
395.126M	-96.424838
395.186M	-95.122787
395.246M	-96.116701
395.306M	-96.813094
395.366M	-96.472014
395.426M	-97.536927
395.486M	-99.576923
395.546M	-98.669900
395.606M	-96.555049
395.667M	-95.273584
395.727M	-94.831776
395.787M	-94.445998
395.847M	-93.990454
395.907M	-94.197998
395.967M	-95.203914
396.027M	-96.224999
396.087M	-97.069174
396.147M	-98.407336
396.207M	-97.147644
396.268M	-95.523318
396.328M	-96.553060
396.388M	-97.543682
396.448M	-96.840455
396.508M	-96.772534
396.568M	-97.562289
396.628M	-97.577401
396.688M	-96.659438
396.748M	-95.946146
396.808M	-95.373995
396.868M	-95.459402
396.929M	-96.797364
396.989M	-98.397801
397.049M	-97.429436
397.109M	-96.979032
397.169M	-98.300811
397.229M	-99.446131
397.289M	-98.918556
397.349M	-98.180526
397.409M	-98.282245
397.469M	-97.675028
397.530M	-97.376168
397.590M	-97.913267
397.650M	-97.930939
397.710M	-98.315420
397.770M	-98.385421
397.830M	-96.475526
397.890M	-94.595441
397.950M	-94.638404
398.010M	-97.227815
398.070M	-98.920610
398.131M	-96.587391
398.191M	-95.569374
398.251M	-96.150303
398.311M	-95.555015
398.371M	-94.279511
398.431M	-94.136068
398.491M	-94.476214
398.551M	-94.467648
398.611M	-94.579074
398.671M	-95.644536
398.731M	-96.851304
398.792M	-95.980466
398.852M	-94.543768
398.912M	-93.571250
398.972M	-93.445676
399.032M	-94.166299
399.092M	-94.550100
399.152M	-94.988275
399.212M	-96.171821
399.272M	-97.222849
399.332M	-97.079840
399.393M	-95.976465
399.453M	-94.650922
399.513M	-94.234857
399.573M	-95.033701
399.633M	-96.575172
399.693M	-96.847710
399.753M	-96.280022
399.813M	-96.668686
399.873M	-96.061127
399.933M	-95.505045
399.993M	-97.169791
400.054M	-100.433808
400.114M	-100.397823
400.174M	-96.887993
400.234M	-94.618101
400.294M	-94.045981
400.354M	-94.426830
400.414M	-95.814648
400.474M	-95.999839
400.534M	-93.816800
400.594M	-93.457868
400.655M	-94.989125
400.715M	-95.649643
400.775M	-94.935437
400.835M	-94.212758
400.895M	-93.042564
400.955M	-91.490606
401.015M	-90.602166
401.075M	-91.630102
401.135M	-95.605502
401.195M	-101.732575
401.256M	-99.738854
401.316M	-96.345957
401.376M	-94.862448
401.436M	-95.348678
401.496M	-96.995001
401.556M	-97.684632
401.616M	-97.133785
401.676M	-96.863582
