Freq	Power
385.030M	-96.509619
385.090M	-94.854518
385.150M	-94.115948
385.210M	-94.199231
385.270M	-94.177556
385.330M	-94.432846
385.390M	-95.480671
385.450M	-95.926086
385.510M	-94.528966
385.570M	-93.308719
385.631M	-93.482700
385.691M	-94.874414
385.751M	-97.068600
385.811M	-98.367416
385.871M	-96.832672
385.931M	-95.249810
385.991M	-94.963239
386.051M	-95.921723
386.111M	-98.326620
386.171M	-100.036668
386.231M	-98.825781
386.292M	-97.781177
386.352M	-96.986118
386.412M	-96.601354
386.472M	-96.257520
386.532M	-95.655372
386.592M	-96.019419
386.652M	-97.557169
386.712M	-98.093192
386.772M	-97.279373
386.832M	-96.789476
386.893M	-97.118515
386.953M	-98.086897
387.013M	-98.041124
387.073M	-96.901736
387.133M	-94.875809
387.193M	-93.249096
387.253M	-93.093756
387.313M	-94.144126
387.373M	-95.598517
387.433M	-95.978399
387.493M	-95.648648
387.554M	-95.842206
387.614M	-95.354380
387.674M	-94.760212
387.734M	-95.896583
387.794M	-98.874546
387.854M	-100.171483
387.914M	-99.663214
387.974M	-101.510599
388.034M	-102.863704
388.094M	-98.439937
388.155M	-95.101689
388.215M	-93.788457
388.275M	-93.408206
388.335M	-93.499252
388.395M	-94.468363
388.455M	-95.411500
388.515M	-95.730136
388.575M	-95.852738
388.635M	-94.900819
388.695M	-93.814716
388.756M	-93.453685
388.816M	-93.961402
388.876M	-95.631485
388.936M	-97.727927
388.996M	-99.720777
389.056M	-102.042656
389.116M	-99.822292
389.176M	-97.215511
389.236M	-95.843474
389.296M	-95.657234
389.356M	-97.755842
389.417M	-99.096557
389.477M	-97.422388
389.537M	-97.585963
389.597M	-99.250735
389.657M	-98.665828
389.717M	-97.559830
389.777M	-98.000993
389.837M	-98.730904
389.897M	-97.624383
389.957M	-96.265505
390.018M	-96.257103
390.078M	-97.248175
390.138M	-98.360814
390.198M	-98.752903
390.258M	-98.967292
390.318M	-97.871305
390.378M	-95.935010
390.438M	-95.789961
390.498M	-97.500685
390.558M	-97.913651
390.618M	-96.678208
390.679M	-96.117595
390.739M	-95.390884
390.799M	-95.348498
390.859M	-97.215549
390.919M	-99.650215
390.979M	-100.965873
391.039M	-100.149186
391.099M	-98.578351
391.159M	-98.261504
391.219M	-98.128990
391.280M	-98.210653
391.340M	-99.028460
391.400M	-98.440957
391.460M	-97.708919
391.520M	-97.205230
391.580M	-95.737999
391.640M	-95.370054
391.700M	-96.605490
391.760M	-97.021523
391.820M	-96.675949
391.881M	-96.280717
391.941M	-95.563473
392.001M	-96.710732
392.061M	-100.279630
392.121M	-99.142325
392.181M	-95.661158
392.241M	-94.034883
392.301M	-94.646738
392.361M	-96.686900
392.421M	-96.979951
392.481M	-95.515453
392.542M	-94.893522
392.602M	-95.416285
392.662M	-96.766670
392.722M	-98.112653
392.782M	-96.585153
392.842M	-95.509670
392.902M	-96.908019
392.962M	-99.383465
393.022M	-98.106960
393.082M	-94.820998
393.143M	-93.504563
393.203M	-94.704121
393.263M	-97.270739
393.323M	-96.972429
393.383M	-95.381435
393.443M	-94.858044
393.503M	-95.002517
393.563M	-94.853969
393.623M	-94.275477
393.683M	-94.158509
393.743M	-95.254166
393.804M	-96.268238
393.864M	-95.648198
393.924M	-94.820045
393.984M	-94.676539
394.044M	-94.862209
394.104M	-95.398375
394.164M	-96.563027
394.224M	-96.493725
394.284M	-95.647293
394.344M	-95.735455
394.405M	-96.458665
394.465M	-97.276429
394.525M	-98.252514
394.585M	-99.763319
394.645M	-101.122283
394.705M	-100.271209
394.765M	-98.527828
394.825M	-97.985266
394.885M	-97.975944
394.945M	-97.989621
395.006M	-98.576765
395.066M	-97.471958
395.126M	-94.774634
395.186M	-93.251094
395.246M	-93.456693
395.306M	-95.237938
395.366M	-95.604411
395.426M	-94.146919
395.486M	-94.114374
395.546M	-95.945171
395.606M	-97.157272
395.667M	-96.566690
395.727M	-97.140404
395.787M	-98.626910
395.847M	-100.598490
395.907M	-102.029285
395.967M	-100.906456
396.027M	-98.474763
396.087M	-98.387182
396.147M	-99.388079
396.207M	-100.043789
396.268M	-100.092267
396.328M	-95.979311
396.388M	-93.521098
396.448M	-93.386666
396.508M	-93.852925
396.568M	-94.557754
396.628M	-97.007679
396.688M	-101.527697
396.748M	-98.851308
396.808M	-95.517759
396.868M	-95.429212
396.929M	-96.597924
396.989M	-97.046355
397.049M	-98.159663
397.109M	-100.324627
397.169M	-100.469032
397.229M	-97.719793
397.289M	-96.167918
397.349M	-94.751636
397.409M	-93.354930
397.469M	-93.399839
397.530M	-94.687926
397.590M	-96.281126
397.650M	-97.408449
397.710M	-97.304567
397.770M	-96.858226
397.830M	-96.628614
397.890M	-96.443302
397.950M	-96.672528
398.010M	-97.331853
398.070M	-96.802809
398.131M	-96.233185
398.191M	-96.523722
398.251M	-96.465574
398.311M	-96.529077
398.371M	-98.677405
398.431M	-100.100078
398.491M	-98.788177
398.551M	-97.829063
398.611M	-96.686173
398.671M	-95.986483
398.731M	-95.423810
398.792M	-95.559889
398.852M	-96.565779
398.912M	-95.729720
398.972M	-93.325525
399.032M	-91.998366
399.092M	-92.255955
399.152M	-93.482058
399.212M	-94.489854
399.272M	-96.352211
399.332M	-98.589223
399.393M	-97.600481
399.453M	-97.147567
399.513M	-97.587314
399.573M	-99.003718
399.633M	-101.612819
399.693M	-100.415192
399.753M	-98.435568
399.813M	-98.048405
399.873M	-97.853969
399.933M	-96.384556
399.993M	-95.768263
400.054M	-97.633642
400.114M	-100.618407
400.174M	-99.156884
400.234M	-96.390325
400.294M	-95.120471
400.354M	-95.752701
400.414M	-97.426398
400.474M	-97.051108
400.534M	-95.128405
400.594M	-94.864454
400.655M	-96.922317
400.715M	-100.424278
400.775M	-100.950606
400.835M	-99.104096
400.895M	-97.593468
400.955M	-96.783431
401.015M	-96.725077
401.075M	-96.766264
401.135M	-96.470081
401.195M	-96.370546
401.256M	-95.938345
401.316M	-94.787909
401.376M	-94.394603
401.436M	-95.492226
401.496M	-97.425124
401.556M	-97.150339
401.616M	-95.590654
401.676M	-96.426900
401.736M	-94.936319
401.796M	-94.831784
401.856M	-95.185765
401.917M	-95.564705
401.977M	-94.527300
402.037M	-89.397064
402.097M	-82.642838
402.157M	-75.981530
402.217M	-70.934834
402.277M	-67.857693
402.337M	-66.332579
402.397M	-65.658868
402.457M	-65.276548
402.518M	-65.552060
402.578M	-66.339051
402.638M	-65.680902
402.698M	-64.900093
402.758M	-64.960209
402.818M	-65.061155
402.878M	-65.684833
402.938M	-65.509802
402.998M	-65.231177
403.058M	-65.954283
403.118M	-65.839619
403.179M	-64.243004
403.239M	-62.968970
403.299M	-62.756217
403.359M	-63.432955
403.419M	-64.137176
403.479M	-64.355043
403.539M	-65.418368
403.599M	-66.923839
403.659M	-68.704476
403.719M	-69.227291
403.780M	-67.035927
403.840M	-65.085473
403.900M	-62.991010
403.960M	-62.035022
404.020M	-63.118495
404.080M	-66.006671
404.140M	-68.050830
404.200M	-65.776952
404.260M	-64.947493
404.320M	-65.802317
404.381M	-66.483200
404.441M	-66.902394
404.501M	-66.497857
404.561M	-65.007773
404.621M	-64.542792
404.681M	-65.905722
404.741M	-68.885129
404.801M	-70.518397
404.861M	-68.886580
404.921M	-66.930113
404.981M	-64.871413
405.042M	-63.597392
405.102M	-64.207892
405.162M	-65.609192
405.222M	-63.948119
