Freq	Power
385.030M	-98.775415
385.090M	-99.381863
385.150M	-99.200510
385.210M	-98.274029
385.270M	-97.190859
385.330M	-96.546065
385.390M	-96.937567
385.450M	-97.587827
385.510M	-95.983036
385.570M	-94.898972
385.631M	-95.106344
385.691M	-95.628557
385.751M	-95.958461
385.811M	-96.092547
385.871M	-96.546570
385.931M	-97.321061
385.991M	-97.644219
386.051M	-97.084779
386.111M	-96.439897
386.171M	-96.164301
386.231M	-96.283298
386.292M	-96.679013
386.352M	-96.809865
386.412M	-96.938924
386.472M	-96.547589
386.532M	-95.914702
386.592M	-95.191356
386.652M	-94.739688
386.712M	-95.521744
386.772M	-96.070036
386.832M	-95.953624
386.893M	-96.454050
386.953M	-96.285976
387.013M	-95.780310
387.073M	-96.256353
387.133M	-96.921145
387.193M	-97.010656
387.253M	-96.697689
387.313M	-96.184288
387.373M	-95.428699
387.433M	-94.732996
387.493M	-95.514549
387.554M	-98.213864
387.614M	-101.758317
387.674M	-104.448678
387.734M	-100.651602
387.794M	-98.593576
387.854M	-98.477548
387.914M	-98.927265
387.974M	-98.331475
388.034M	-95.834169
388.094M	-94.467297
388.155M	-94.120738
388.215M	-94.723965
388.275M	-95.957331
388.335M	-96.644826
388.395M	-95.872090
388.455M	-93.886892
388.515M	-92.751185
388.575M	-93.551190
388.635M	-96.050462
388.695M	-100.454217
388.756M	-101.912718
388.816M	-98.303686
388.876M	-97.393893
388.936M	-98.294474
388.996M	-98.220283
389.056M	-95.625874
389.116M	-94.468556
389.176M	-95.096021
389.236M	-95.902727
389.296M	-96.722622
389.356M	-97.116301
389.417M	-97.144060
389.477M	-98.604087
389.537M	-98.067276
389.597M	-96.263027
389.657M	-96.373375
389.717M	-98.224793
389.777M	-100.009541
389.837M	-100.176422
389.897M	-100.404591
389.957M	-99.829050
390.018M	-98.754722
390.078M	-98.158616
390.138M	-97.781167
390.198M	-98.295776
390.258M	-99.352231
390.318M	-99.114938
390.378M	-97.473839
390.438M	-97.111475
390.498M	-97.630699
390.558M	-97.758558
390.618M	-96.381704
390.679M	-95.080676
390.739M	-95.342052
390.799M	-95.570811
390.859M	-95.466599
390.919M	-95.776083
390.979M	-96.523827
391.039M	-96.976777
391.099M	-96.331966
391.159M	-96.274061
391.219M	-97.063319
391.280M	-97.528663
391.340M	-97.337188
391.400M	-96.613743
391.460M	-96.165688
391.520M	-96.158091
391.580M	-95.521321
391.640M	-95.129404
391.700M	-96.715548
391.760M	-99.288666
391.820M	-98.071280
391.881M	-96.050523
391.941M	-95.210443
392.001M	-96.934277
392.061M	-99.992426
392.121M	-97.501057
392.181M	-95.312492
392.241M	-95.772913
392.301M	-98.123717
392.361M	-99.064358
392.421M	-97.282723
392.481M	-95.608419
392.542M	-95.247391
392.602M	-95.940901
392.662M	-96.844505
392.722M	-96.704902
392.782M	-96.568476
392.842M	-96.430787
392.902M	-96.047742
392.962M	-97.740326
393.022M	-101.778577
393.082M	-99.847792
393.143M	-97.230949
393.203M	-96.786621
393.263M	-96.995090
393.323M	-97.198566
393.383M	-97.431162
393.443M	-97.430323
393.503M	-97.061131
393.563M	-96.809858
393.623M	-97.558760
393.683M	-99.487429
393.743M	-99.513518
393.804M	-96.830264
393.864M	-95.327663
393.924M	-95.586145
393.984M	-96.400223
394.044M	-96.923596
394.104M	-98.376089
394.164M	-98.999585
394.224M	-97.614344
394.284M	-97.245029
394.344M	-97.480498
394.405M	-99.075134
394.465M	-101.815317
394.525M	-98.533870
394.585M	-95.020524
394.645M	-94.904695
394.705M	-97.527055
394.765M	-98.090848
394.825M	-96.955191
394.885M	-97.742123
394.945M	-98.916884
395.006M	-98.647480
395.066M	-96.682336
395.126M	-94.775704
395.186M	-93.873775
395.246M	-93.583492
395.306M	-94.123568
395.366M	-95.951832
395.426M	-97.195393
395.486M	-96.159642
395.546M	-94.401944
395.606M	-93.198145
395.667M	-93.109297
395.727M	-93.704382
395.787M	-94.000848
395.847M	-93.562132
395.907M	-94.203766
395.967M	-96.543537
396.027M	-98.081117
396.087M	-96.597726
396.147M	-95.910152
396.207M	-97.664843
396.268M	-100.582340
396.328M	-101.554980
396.388M	-101.295460
396.448M	-99.612691
396.508M	-98.036393
396.568M	-96.121779
396.628M	-93.958126
396.688M	-93.609535
396.748M	-95.057491
396.808M	-96.170726
396.868M	-95.388306
396.929M	-95.762678
396.989M	-97.888366
397.049M	-97.517534
397.109M	-95.798034
397.169M	-95.281644
397.229M	-96.269036
397.289M	-97.404659
397.349M	-97.717415
