Freq	Power
385.030M	-97.788771
385.090M	-99.023809
385.150M	-96.222184
385.210M	-94.321379
385.270M	-94.075541
385.330M	-94.610099
385.390M	-96.128169
385.450M	-97.442510
385.510M	-98.419066
385.570M	-101.172357
385.631M	-103.737456
385.691M	-100.546241
385.751M	-97.499299
385.811M	-95.894238
385.871M	-94.869616
385.931M	-94.995264
385.991M	-96.354640
386.051M	-96.877604
386.111M	-95.910618
386.171M	-94.894864
386.231M	-94.069116
386.292M	-93.829927
386.352M	-94.243231
386.412M	-95.097958
386.472M	-96.746463
386.532M	-99.413738
386.592M	-103.475886
386.652M	-101.315330
386.712M	-97.050040
386.772M	-96.647940
386.832M	-98.513318
386.893M	-100.521321
386.953M	-100.091346
387.013M	-97.116995
387.073M	-95.816780
387.133M	-96.472469
387.193M	-96.603761
387.253M	-95.415534
387.313M	-95.014801
387.373M	-95.734616
387.433M	-97.248442
387.493M	-99.728410
387.554M	-101.732329
387.614M	-99.412932
387.674M	-96.670116
387.734M	-95.601657
387.794M	-96.287359
387.854M	-98.239472
387.914M	-98.800113
387.974M	-97.229415
388.034M	-95.517287
388.094M	-94.767225
388.155M	-94.668893
388.215M	-95.272051
388.275M	-96.512449
388.335M	-96.637633
388.395M	-96.468349
388.455M	-97.297342
388.515M	-97.544947
388.575M	-97.055110
388.635M	-97.362412
388.695M	-98.321436
388.756M	-98.177180
388.816M	-97.820966
388.876M	-99.221107
388.936M	-101.169487
388.996M	-99.646539
389.056M	-97.659265
389.116M	-96.623091
389.176M	-97.325200
389.236M	-98.900771
389.296M	-97.493939
389.356M	-96.387750
389.417M	-96.693770
389.477M	-96.958218
389.537M	-97.880572
389.597M	-97.818003
389.657M	-96.279016
389.717M	-96.149428
389.777M	-97.292294
389.837M	-96.842288
389.897M	-96.005880
389.957M	-97.604534
390.018M	-100.493042
390.078M	-98.725729
390.138M	-96.609289
390.198M	-96.558162
390.258M	-98.328029
390.318M	-99.141060
390.378M	-97.272209
390.438M	-96.023450
390.498M	-95.982171
390.558M	-96.451828
390.618M	-96.008752
390.679M	-95.503996
390.739M	-96.605084
390.799M	-96.918501
390.859M	-94.764560
